"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"RA_mRNA_Splicing_-_Major_Pathway%R-MMU-72163",0.001085776330076,0.0252579632122028,-0.649783531051591,-1.8917349636741,0,176,"SNRPF;POLR2F;SNRPD1;POLR2L;LSM4;SNRPE;POLR2H;RBM8A;MAGOHB;LUC7L3;SNRPD3;ZMAT2;UPF3B;LSM5;UBL5;LSM7;SNRPG;LSM8;CCDC12;MAGOH;SNRPD2;DDX23;GTF2F2;SF3B6;POLR2I;BUD31;LSM3;SRSF9;SNRNP27;LSM6;PRKRIP1;BCAS2;CWC15;PPIG;SNRNP70;POLR2G;RBMX2;RBM25;SYF2;PHF5A;WBP4;LSM2;HNRNPH1;NSRP1;ACIN1;RBM17;FAM32A;ALYREF;SRSF7;SMNDC1;NKAP;PPIL3;SNRPA1;SNRPC;SRSF11;ISY1;POLR2E;U2AF1;SRSF3"
"RA_mRNA_Splicing%R-MMU-72172",0.00109051254089422,0.0252579632122028,-0.656076014055391,-1.90894537274049,0,182,"SNRPF;POLR2F;SNRPD1;POLR2L;LSM4;SNRPE;POLR2H;RBM8A;MAGOHB;LUC7L3;SNRPD3;ZMAT2;UPF3B;LSM5;UBL5;LSM7;SNRPG;LSM8;CCDC12;MAGOH;SNRPD2;DDX23;GTF2F2;ZCRB1;SF3B6;POLR2I;BUD31;LSM3;SRSF9;SNRNP27;LSM6;PRKRIP1;BCAS2;CWC15;PPIG;SNRNP48;SNRNP70;POLR2G;RBMX2;RBM25;SYF2;PHF5A;WBP4;LSM2;HNRNPH1;NSRP1;ACIN1;RBM17;FAM32A;SNRNP25;ALYREF;SRSF7;SMNDC1;NKAP;PPIL3;SNRNP35;SNRPA1;SNRPC;SRSF11;ISY1;POLR2E;U2AF1;SRSF3"
"RA_The_citric_acid_(TCA)_cycle_and_respiratory_electron_transport%R-MMU-1428517",0.00115207373271889,0.0252579632122028,-0.795158275435428,-2.22279779711797,0,109,"UQCRH;COX5A;NDUFB3;NDUFA5;UQCRQ;NDUFA1;NDUFS6;NDUFB7;NDUFB10;NDUFA2;NDUFC2;NDUFA3;NDUFB11;COX4I1;ETFB;NDUFA4;NDUFAF2;NDUFA13;NDUFS5;COX16;COX20;NDUFS4;NDUFB8;NDUFB5;UQCR10;NDUFB9;COX6B1;NDUFA12;NDUFC1;COX6A1;COX8A;NDUFAF3;NDUFA6;NDUFS7;NDUFAB1;COX7B;MT-CO2;NDUFB6;GLO1;NDUFB2;NDUFV2;NDUFS3;FAHD1;PDHB"
"RA_Respiratory_electron_transport,_ATP_synthesis_by_chemiosmotic_coupling,_and_heat_production_by_uncoupling_proteins.%R-MMU-163200",0.00120048019207683,0.0252579632122028,-0.839679015223378,-2.23443188157101,0,74,"UQCRH;COX5A;NDUFB3;NDUFA5;UQCRQ;NDUFA1;NDUFS6;NDUFB7;NDUFB10;NDUFA2;NDUFC2;NDUFA3;NDUFB11;COX4I1;ETFB;NDUFA4;NDUFAF2;NDUFA13;NDUFS5;COX16;COX20;NDUFS4;NDUFB8;NDUFB5;UQCR10;NDUFB9;COX6B1;NDUFA12;NDUFC1;COX6A1;COX8A;NDUFAF3;NDUFA6;NDUFS7;NDUFAB1;COX7B;MT-CO2;NDUFB6;NDUFB2"
"RA_Respiratory_electron_transport%R-MMU-611105",0.00121359223300971,0.0252579632122028,-0.850352859675568,-2.25180729952572,0,70,"UQCRH;COX5A;NDUFB3;NDUFA5;UQCRQ;NDUFA1;NDUFS6;NDUFB7;NDUFB10;NDUFA2;NDUFC2;NDUFA3;NDUFB11;COX4I1;ETFB;NDUFA4;NDUFAF2;NDUFA13;NDUFS5;COX16;COX20;NDUFS4;NDUFB8;NDUFB5;UQCR10;NDUFB9;COX6B1;NDUFA12;NDUFC1;COX6A1;COX8A;NDUFAF3;NDUFA6;NDUFS7;NDUFAB1;COX7B;MT-CO2;NDUFB6;NDUFB2"
"RA_Complex_I_biogenesis%R-MMU-6799198",0.00128040973111396,0.0252579632122028,-0.846446311234807,-2.12323909591616,0,45,"NDUFB3;NDUFA5;NDUFA1;NDUFS6;NDUFB7;NDUFB10;NDUFA2;NDUFC2;NDUFA3;NDUFB11;NDUFAF2;NDUFA13;NDUFS5;NDUFS4;NDUFB8;NDUFB5;NDUFB9;NDUFA12;NDUFC1;NDUFAF3;NDUFA6;NDUFS7;NDUFAB1;NDUFB6;NDUFB2;NDUFV2;NDUFS3"
"RA_L13a-mediated_translational_silencing_of_Ceruloplasmin_expression%R-MMU-156827",0.00118203309692671,0.0252579632122028,-0.872461386605339,-2.36515853960711,0,83,"RPS21;RPL22;RPS12;RPL23;RPL38;RPS15A;RPL34;RPS28;RPS24;RPLP2;RPLP1;RPS27L;RPL35A;RPS20;RPL30;RPS13;RPL36A;RPS9;RPS10;RPS16;RPL27A;RPS29;RPS17;RPS23;RPS15;RPS14;RPL28;RPL39;RPL37A;RPL8;RPL27;RPSA;RPS5;RPL31;RPL26;RPS4X;RPL11;RPL9;RPL18A;RPL32;RPS25;RPL18;RPS19;EIF3K;RPL14;RPL7;RPS6;RPS8;EIF3F;RPL19;RPL13;RPL6;RPL23A;EIF1AX;RPL24;EIF4A2;RPS3;RPS11;PABPC1;EIF2S3X;RPL15;RPLP0;EIF4B;RPS18;EIF2S2"
"RA_Eukaryotic_Translation_Initiation%R-MMU-72613",0.00117096018735363,0.0252579632122028,-0.868931145651079,-2.38056090963543,0,91,"RPS21;RPL22;RPS12;RPL23;RPL38;RPS15A;RPL34;RPS28;RPS24;RPLP2;RPLP1;RPS27L;RPL35A;RPS20;RPL30;RPS13;RPL36A;RPS9;RPS10;RPS16;RPL27A;RPS29;RPS17;RPS23;RPS15;RPS14;RPL28;RPL39;RPL37A;RPL8;RPL27;RPSA;RPS5;RPL31;RPL26;RPS4X;RPL11;RPL9;RPL18A;EIF5B;RPL32;RPS25;RPL18;RPS19;EIF3K;RPL14;RPL7;RPS6;RPS8;EIF3F;RPL19;RPL13;RPL6;RPL23A;EIF1AX;RPL24;EIF4A2;RPS3;RPS11;PABPC1;EIF2S3X;RPL15;RPLP0;EIF4B;RPS18;EIF2S2"
"RA_Translation_initiation_complex_formation%R-MMU-72649",0.00126903553299492,0.0252579632122028,-0.85934377359842,-2.16740610608125,0,49,"RPS21;RPS12;RPS15A;RPS28;RPS24;RPS27L;RPS20;RPS13;RPS9;RPS10;RPS16;RPS29;RPS17;RPS23;RPS15;RPS14;RPSA;RPS5;RPS4X;RPS25;RPS19;EIF3K;RPS6;RPS8;EIF3F;EIF1AX;EIF4A2;RPS3;RPS11;PABPC1;EIF2S3X;EIF4B;RPS18;EIF2S2"
"RA_Activation_of_the_mRNA_upon_binding_of_the_cap-binding_complex_and_eIFs,_and_subsequent_binding_to_43S%R-MMU-72662",0.00126582278481013,0.0252579632122028,-0.858037353575276,-2.17480135384201,0,50,"RPS21;RPS12;RPS15A;RPS28;RPS24;RPS27L;RPS20;RPS13;RPS9;RPS10;RPS16;RPS29;RPS17;RPS23;RPS15;RPS14;RPSA;RPS5;RPS4X;RPS25;RPS19;EIF3K;RPS6;RPS8;EIF3F;EIF1AX;EIF4A2;RPS3;RPS11;PABPC1;EIF2S3X;EIF4B;RPS18;EIF2S2"
"RA_Formation_of_a_pool_of_free_40S_subunits%R-MMU-72689",0.00120481927710843,0.0252579632122028,-0.879043382720603,-2.33618258906573,0,73,"RPS21;RPL22;RPS12;RPL23;RPL38;RPS15A;RPL34;RPS28;RPS24;RPLP2;RPLP1;RPS27L;RPL35A;RPS20;RPL30;RPS13;RPL36A;RPS9;RPS10;RPS16;RPL27A;RPS29;RPS17;RPS23;RPS15;RPS14;RPL28;RPL39;RPL37A;RPL8;RPL27;RPSA;RPS5;RPL31;RPL26;RPS4X;RPL11;RPL9;RPL18A;RPL32;RPS25;RPL18;RPS19;EIF3K;RPL14;RPL7;RPS6;RPS8;EIF3F;RPL19;RPL13;RPL6;RPL23A;EIF1AX;RPL24;RPS3;RPS11;RPL15;RPLP0;RPS18"
"RA_Formation_of_the_ternary_complex,_and_subsequently,_the_43S_complex%R-MMU-72695",0.00130718954248366,0.0252579632122028,-0.863230566934014,-2.143493925179,0,42,"RPS21;RPS12;RPS15A;RPS28;RPS24;RPS27L;RPS20;RPS13;RPS9;RPS10;RPS16;RPS29;RPS17;RPS23;RPS15;RPS14;RPSA;RPS5;RPS4X;RPS25;RPS19;EIF3K;RPS6;RPS8;EIF3F;EIF1AX;RPS3;RPS11;EIF2S3X;RPS18;EIF2S2"
"RA_Ribosomal_scanning_and_start_codon_recognition%R-MMU-72702",0.00126903553299492,0.0252579632122028,-0.857893719488698,-2.16374883150951,0,49,"RPS21;RPS12;RPS15A;RPS28;RPS24;RPS27L;RPS20;RPS13;RPS9;RPS10;RPS16;RPS29;RPS17;RPS23;RPS15;RPS14;RPSA;RPS5;RPS4X;RPS25;RPS19;EIF3K;RPS6;RPS8;EIF3F;EIF1AX;EIF4A2;RPS3;RPS11;EIF2S3X;EIF4B;RPS18;EIF2S2"
