"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"RA_mRNA_Splicing_-_Major_Pathway%R-MMU-72163",0.00127877237851662,0.0313090868646424,-0.499485252810129,-1.64928828595401,0,176,"POLR2L;SNRPF;POLR2F;RBM8A;SNRPD1;LSM7;SNRPE;DDX23;LSM5;LUC7L3;LSM4;POLR2H;MAGOH;UBL5;LSM8;SF3B6;LSM6;SNRNP27;SNRPD3;UPF3B;SNRPD2;ZMAT2;BCAS2;MAGOHB;RBMX2;PRKRIP1;POLR2I;SNRPG;BUD31;LSM3;PHF5A;U2AF1;SRSF9;PPIL3;CWC15;CCDC12;ACIN1;SYF2;HNRNPH1;FAM32A;PPIG;NCBP2;ISY1;SNRNP70;HNRNPA3;GTF2F2;LSM2;NKAP;RBM25;POLR2E;SNRPC;SRSF3;RBM17;POLR2G;LENG1;SRSF5;ALYREF;NSRP1;SNRPA1;SMNDC1"
"RA_mRNA_Splicing%R-MMU-72172",0.00126742712294043,0.0313090868646424,-0.509092750627513,-1.68751784520061,0,182,"POLR2L;SNRPF;POLR2F;RBM8A;SNRPD1;LSM7;SNRPE;DDX23;LSM5;LUC7L3;LSM4;POLR2H;MAGOH;UBL5;LSM8;SF3B6;LSM6;SNRNP27;ZCRB1;SNRPD3;UPF3B;SNRPD2;ZMAT2;BCAS2;MAGOHB;RBMX2;PRKRIP1;POLR2I;SNRPG;BUD31;LSM3;SNRNP48;PHF5A;U2AF1;SRSF9;PPIL3;CWC15;CCDC12;ACIN1;SYF2;HNRNPH1;FAM32A;SNRNP25;PPIG;NCBP2;ISY1;SNRNP70;HNRNPA3;GTF2F2;LSM2;NKAP;RBM25;POLR2E;SNRPC;SRSF3;RBM17;POLR2G;LENG1;SRSF5;ZMAT5;ALYREF;NSRP1;SNRPA1;SMNDC1"
"RA_The_citric_acid_(TCA)_cycle_and_respiratory_electron_transport%R-MMU-1428517",0.00135685210312076,0.0313090868646424,-0.73936141800532,-2.33205021236399,0,109,"NDUFA5;NDUFA1;NDUFA3;UQCRQ;NDUFB3;UQCRH;NDUFA2;NDUFB7;NDUFS6;NDUFB8;NDUFB10;NDUFAF2;NDUFA4;NDUFA13;NDUFS5;NDUFB11;COX4I1;ETFB;COX6B1;COX8A;COX20;COX6A1;MT-CO2;COX5A;NDUFB9;NDUFB6;NDUFS4;NDUFA6;NDUFC2;NDUFB2;COX16;COX7B;NDUFB5;UQCR10;NDUFC1;NDUFS7;NDUFAF3;NDUFA7;NDUFA12;NDUFA8;FAHD1"
"RA_Respiratory_electron_transport,_ATP_synthesis_by_chemiosmotic_coupling,_and_heat_production_by_uncoupling_proteins.%R-MMU-163200",0.00141442715700141,0.0313090868646424,-0.812846277652539,-2.41471069111454,0,74,"NDUFA5;NDUFA1;NDUFA3;UQCRQ;NDUFB3;UQCRH;NDUFA2;NDUFB7;NDUFS6;NDUFB8;NDUFB10;NDUFAF2;NDUFA4;NDUFA13;NDUFS5;NDUFB11;COX4I1;ETFB;COX6B1;COX8A;COX20;COX6A1;MT-CO2;COX5A;NDUFB9;NDUFB6;NDUFS4;NDUFA6;NDUFC2;NDUFB2;COX16;COX7B;NDUFB5;UQCR10;NDUFC1;NDUFS7;NDUFAF3;NDUFA7;NDUFA12;NDUFA8"
"RA_Respiratory_electron_transport%R-MMU-611105",0.00140646976090014,0.0313090868646424,-0.825398780526017,-2.4364558181524,0,70,"NDUFA5;NDUFA1;NDUFA3;UQCRQ;NDUFB3;UQCRH;NDUFA2;NDUFB7;NDUFS6;NDUFB8;NDUFB10;NDUFAF2;NDUFA4;NDUFA13;NDUFS5;NDUFB11;COX4I1;ETFB;COX6B1;COX8A;COX20;COX6A1;MT-CO2;COX5A;NDUFB9;NDUFB6;NDUFS4;NDUFA6;NDUFC2;NDUFB2;COX16;COX7B;NDUFB5;UQCR10;NDUFC1;NDUFS7;NDUFAF3;NDUFA7;NDUFA12;NDUFA8"
"RA_Complex_I_biogenesis%R-MMU-6799198",0.00149476831091181,0.0313090868646424,-0.837361301857944,-2.30532159289851,0,45,"NDUFA5;NDUFA1;NDUFA3;NDUFB3;NDUFA2;NDUFB7;NDUFS6;NDUFB8;NDUFB10;NDUFAF2;NDUFA13;NDUFS5;NDUFB11;NDUFB9;NDUFB6;NDUFS4;NDUFA6;NDUFC2;NDUFB2;NDUFB5;NDUFC1;NDUFS7;NDUFAF3;NDUFA7;NDUFA12;NDUFA8"
"RA_L13a-mediated_translational_silencing_of_Ceruloplasmin_expression%R-MMU-156827",0.00137174211248285,0.0313090868646424,-0.851359612579076,-2.57988503579917,0,83,"RPS21;RPL38;RPS12;RPL22;RPLP1;RPL35A;RPLP2;RPL23;RPS27L;RPS15A;RPS20;RPS24;RPL34;RPL30;RPS15;RPS29;RPS23;RPS28;RPS16;RPS17;RPS10;RPL36A;RPL27A;RPS9;RPL37A;RPL28;RPS14;RPL31;RPL39;RPL18;RPL26;RPL27;RPSA;RPL8;RPS25;RPS5;RPL11;RPL32;RPS13;RPL24;RPS4X;EIF3K;RPS8;RPS6;EIF1AX;RPL14;RPL19;RPS19;RPL7;RPL18A;RPL6;RPL9;RPL13;EIF4B;RPLP0;EIF4A2;RPL23A;RPS18;EIF2S3X;RPS3;PABPC1;RPS11"
"RA_Eukaryotic_Translation_Initiation%R-MMU-72613",0.00139664804469274,0.0313090868646424,-0.841508186556411,-2.57765606522103,0,91,"RPS21;RPL38;RPS12;RPL22;RPLP1;RPL35A;RPLP2;RPL23;RPS27L;RPS15A;RPS20;RPS24;RPL34;RPL30;RPS15;RPS29;RPS23;RPS28;RPS16;RPS17;RPS10;RPL36A;RPL27A;RPS9;RPL37A;RPL28;RPS14;RPL31;RPL39;RPL18;RPL26;RPL27;RPSA;RPL8;RPS25;RPS5;RPL11;RPL32;RPS13;RPL24;RPS4X;EIF3K;RPS8;RPS6;EIF1AX;RPL14;RPL19;RPS19;RPL7;RPL18A;RPL6;RPL9;RPL13;EIF4B;RPLP0;EIF4A2;RPL23A;RPS18;EIF2S3X;RPS3;PABPC1;RPS11"
"RA_Translation_initiation_complex_formation%R-MMU-72649",0.00147058823529412,0.0313090868646424,-0.82504651691192,-2.30642055159625,0,49,"RPS21;RPS12;RPS27L;RPS15A;RPS20;RPS24;RPS15;RPS29;RPS23;RPS28;RPS16;RPS17;RPS10;RPS9;RPS14;RPSA;RPS25;RPS5;RPS13;RPS4X;EIF3K;RPS8;RPS6;EIF1AX;RPS19;EIF4B;EIF4A2;RPS18;EIF2S3X;RPS3;PABPC1;RPS11"
"RA_Activation_of_the_mRNA_upon_binding_of_the_cap-binding_complex_and_eIFs,_and_subsequent_binding_to_43S%R-MMU-72662",0.00144717800289436,0.0313090868646424,-0.82381654812775,-2.31595754642992,0,50,"RPS21;RPS12;RPS27L;RPS15A;RPS20;RPS24;RPS15;RPS29;RPS23;RPS28;RPS16;RPS17;RPS10;RPS9;RPS14;RPSA;RPS25;RPS5;RPS13;RPS4X;EIF3K;RPS8;RPS6;EIF1AX;RPS19;EIF4B;EIF4A2;RPS18;EIF2S3X;RPS3;PABPC1;RPS11"
