"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"KEGG_Oxidative_phosphorylation%mmu00190",0.00120048019207683,0.0246835443037975,-0.644979080289598,-2.14663123880413,0,88,"COX5A;NDUFC2;NDUFS1;COX7A2;NDUFB3;UQCRC2;UQCRH;NDUFS3;NDUFA9;UQCRB;ATP5O;NDUFS2;NDUFB11;ATP5H;ATP5C1;ATP5G3;ATP5K;NDUFC1;NDUFA12;NDUFAB1;ATP6V1G1;NDUFA13;NDUFA10;ATP6V1D;NDUFS4;NDUFV3;NDUFS6;COX5B;NDUFB5;COX8A;CYC1;ATP5E;UQCR10;ATP5A1;NDUFV2;SDHC;NDUFB10;NDUFA1;PPA1;PPA2;UQCRQ;COX6B1;NDUFA2;ATP5J2;ATP5B;NDUFS5;NDUFB7;COX7B;ATP6AP1;COX6C"
"KEGG_Ribosome%mmu03010",0.00118483412322275,0.0246835443037975,-0.65497173644729,-2.2164234841495,0,99,"RPS13;RPL30;MRPS18C;RPS15A;RPL22;RPL36A;MRPL20;RPL18A;RPL23;RPL21;RPL9;FAU;RPL27A;RPS27L;RPS28;RPS27A;RPS16;RPL17;RPS19;RPS12;RPL36AL;RPL34;RPL10A;RPL39;RPL36;RPS29;RPL14;RPS9;RPL11;MRPL21;RPS5;RPS17;MRPL1;MRPS17;RPL27;RPS4X;MRPL23;RPL7;RPL13;RPL26;MRPS14;RPS23;RPS14;RPSA;RPS18;RPL6;MRPS15;RPL23A;RPLP1;MRPS16;RPS3A1;RPL32;RPL31;RPL3;RPL15;MRPL24;RPS25;RPS11;RPS3;MRPL28;MRPL19;RPL19;RPS21;RPL38;RPS24;RPL28;MRPS9;RPLP2;RPL35A"
"KEGG_Spliceosome%mmu03040",0.00116144018583043,0.0246835443037975,-0.546853493692991,-1.8792215631705,0,115,"PRPF40A;RBM25;SRSF5;SMNDC1;CDC5L;FUS;ZMAT2;SNRPB2;ALYREF;SNRPD3;LSM3;SF3B1;SRSF7;RBM17;SNRPE;SNRNP70;SNRPD1;THOC1;PRPF6;SYF2;DDX5;U2SURP;SNRPF;HNRNPM;SNRPG;CCDC12;LSM5;PRPF38B;LSM4;CWC15;CRNKL1;SNRPA1;SNW1;THOC3;TRA2A;SART1;MAGOH;PQBP1;SNRNP200;PRPF38A;HNRNPU;DDX46;RP9;SRSF9;EIF4A3;PPIE;HNRNPC;LSM8;THOC2;EFTUD2;XAB2;LSM2;SF3A1;RBMX;SNRNP40;PRPF8;BUD31;PHF5A;SNRNP27;HNRNPA3;PRPF3;SF3A2"
"KEGG_Thermogenesis%mmu04714",0.00115074798619102,0.0246835443037975,-0.564179434440736,-1.95166368768679,0,122,"COX5A;NDUFC2;NDUFS1;COX7A2;COA3;NDUFB3;UQCRC2;UQCRH;NDUFS3;NDUFA9;UQCRB;ATP5O;NDUFS2;NDUFB11;ATP5H;COX20;ATP5C1;ATP5G3;ATP5K;NDUFC1;NDUFA12;NDUFAB1;NDUFAF7;NDUFA13;SMARCA4;NDUFA10;NDUFS4;NDUFV3;NDUFS6;COX5B;SMARCB1;SMARCC1;NDUFB5;COX8A;CYC1;ATP5E;UQCR10;ACTG1;ATP5A1;NDUFV2;RHEB;SDHC;NDUFB10;NDUFA1;NDUFAF3;KDM1A;UQCRQ;COX6B1;NDUFA2;ATP5J2;ATP5B;NDUFS5;NDUFB7;GRB2;COX7B;SMARCE1"
"KEGG_Retrograde_endocannabinoid_signaling%mmu04723",0.00126582278481013,0.0246835443037975,-0.536710680549542,-1.67387521964903,0,55,"NDUFC2;NDUFS1;NDUFB3;NDUFS3;NDUFA9;NDUFS2;NDUFB11;NDUFC1;NDUFA12;NDUFAB1;NDUFA13;NDUFA10;NDUFS4;NDUFV3;NDUFS6;NDUFB5;NDUFV2;NDUFB10;NDUFA1;NDUFA2;NDUFS5;NDUFB7"
"KEGG_Non-alcoholic_fatty_liver_disease%mmu04932",0.00119331742243437,0.0246835443037975,-0.536689291232335,-1.80905882394479,0,97,"COX5A;NDUFC2;NDUFS1;COX7A2;NDUFB3;UQCRC2;UQCRH;NDUFS3;NDUFA9;UQCRB;NDUFS2;NDUFB11;NDUFC1;NDUFA12;NDUFAB1;NDUFA13;NDUFA10;FAS;NDUFS4;NDUFV3;NDUFS6;COX5B;NDUFB5;COX8A;CYC1;IL6RA;UQCR10;NDUFV2;SDHC;NDUFB10;NDUFA1;UQCRQ;COX6B1;NDUFA2;NDUFS5;NDUFB7"
"KEGG_Parkinson_disease%mmu05012",0.00112107623318386,0.0246835443037975,-0.543981564192369,-1.94152605905183,0,163,"COX5A;NDUFC2;NDUFS1;TUBA1B;COX7A2;NDUFB3;UQCRC2;UQCRH;NDUFS3;NDUFA9;UQCRB;ATP5O;NDUFS2;NDUFB11;ATP5H;ATP5C1;ATP5G3;SOD1;NDUFC1;NDUFA12;NDUFAB1;RPS27A;NDUFA13;SEM1;NDUFA10;NDUFS4;SLC25A4;NDUFV3;CALM2;NDUFS6;PSMA2;COX5B;PSMA3;NDUFB5;PSMD6;COX8A;CYC1;ATP5E;UQCR10;TXN1;HTRA2;PSMA7;ATP5A1;NDUFV2;SDHC;NDUFB10;NDUFA1;PSMA4;UBE2G2;UQCRQ;COX6B1;PSMC5;NDUFA2;ATP5B;UBE2L3;NDUFS5;PSMD7;VDAC3;NDUFB7;PSMB7"
"KEGG_Huntington_disease%mmu05016",0.00110987791342952,0.0246835443037975,-0.495215671585206,-1.783976152644,0,183,"COX5A;NDUFC2;NDUFS1;TUBA1B;POLR2G;COX7A2;NDUFB3;UQCRC2;UQCRH;NDUFS3;NDUFA9;UQCRB;ATP5O;NDUFS2;NDUFB11;ATP5H;ATP5C1;ATP5G3;SOD1;NDUFC1;NDUFA12;NDUFAB1;NDUFA13;SEM1;NDUFA10;NDUFS4;SLC25A4;NDUFV3;NDUFS6;PSMA2;COX5B;PSMA3;NDUFB5;PSMD6;COX8A;CYC1;ATP5E;UQCR10;ATG101;AP2S1;PSMA7;ATP5A1;NDUFV2;SDHC;NDUFB10;NDUFA1;PSMA4;UQCRQ;POLR2F;COX6B1;PSMC5;NDUFA2;CLTC;ATP5B;NDUFS5;PSMD7;VDAC3;NDUFB7;IFT57;PSMB7"
"KEGG_Prion_disease%mmu05020",0.00111358574610245,0.0246835443037975,-0.54448053002157,-1.94427156471702,0,157,"COX5A;NDUFC2;NDUFS1;TUBA1B;COX7A2;NDUFB3;UQCRC2;UQCRH;NDUFS3;NDUFA9;UQCRB;ATP5O;NDUFS2;NDUFB11;ATP5H;ATP5C1;ATP5G3;SOD1;CSNK2A1;NDUFC1;NDUFA12;NDUFAB1;NDUFA13;SEM1;NDUFA10;NDUFS4;SLC25A4;NDUFV3;CYBB;NDUFS6;PSMA2;COX5B;PSMA3;NDUFB5;PSMD6;COX8A;CYC1;ATP5E;UQCR10;PSMA7;ATP5A1;NDUFV2;SDHC;NDUFB10;RAC2;NDUFA1;PSMA4;UQCRQ;PPP3CA;COX6B1;PSMC5;NDUFA2;ATP5B;NDUFS5;CSNK2B;PSMD7;VDAC3;NDUFB7;PSMB7;COX7B;CYBA;COX6C"
"KEGG_Coronavirus_disease%mmu05171",0.00115207373271889,0.0246835443037975,-0.48134537151207,-1.66476897507553,0,119,"RPS13;RPL30;CASP1;RPS15A;RPL22;RPL36A;RPL18A;IFNAR2;RPL23;RPL21;RPL9;FAU;RPL27A;RPS27L;RPS28;RPS27A;RPS16;RPL17;FCGR3;RPS19;RPS12;CYBB;RPL36AL;RPL34;IL6RA;RPL10A;RPL39;RPL36;RPS29;RPL14;RPS9;RPL11;RPS5;RPS17;RPL27;RPS4X;RPL7;RPL13;RPL26;RPS23;RPS14;RPSA;RPS18;RPL6;RPL23A;RPLP1;RPS3A1;RPL32;RPL31;RPL3;RPL15;C3;RPS25;RPS11;RPS3;RPL19;RPS21;RPL38;RPS24;RPL28;RPLP2;RPL35A"
