transcript	RIBO_GMP_Ven_A	RIBO_GMP_Ven_B	RIBO_GMP_vehicle_A	RIBO_GMP_vehicle_B	RIBO_HSC_Ven_A	RIBO_HSC_Ven_B	RIBO_HSC_vehicle_A	RIBO_HSC_vehicle_B
0610009B22Rik	3	0	0	2	2	1	5	2
0610010F05Rik	75	29	66	49	38	6	45	29
0610010K14Rik	0	0	0	0	0	0	0	0
0610012G03Rik	6	1	5	2	11	4	6	7
0610030E20Rik	115	52	79	68	183	37	161	128
0610040J01Rik	2	0	2	0	14	3	6	4
1110002E22Rik	0	0	0	0	0	0	0	0
1110004F10Rik	256	151	207	220	116	64	181	179
1110008P14Rik	19	6	14	16	5	1	13	12
1110012L19Rik	55	16	31	33	10	4	30	26
1110017D15Rik	0	0	0	0	0	0	0	0
1110025L11Rik	0	0	0	0	0	0	0	0
1110032A03Rik	2	1	1	3	7	0	4	4
1110032F04Rik	0	0	0	0	0	0	0	0
1110038F14Rik	15	14	11	14	45	8	15	19
1110051M20Rik	7	4	2	2	2	0	1	2
1110057P08Rik	0	0	0	0	0	0	0	0
1110059E24Rik	39	18	32	27	23	11	22	27
1110059G10Rik	25	9	28	27	20	5	29	32
1110065P20Rik	0	0	1	1	0	0	1	1
1190005I06Rik	0	0	0	0	0	0	0	0
1190007I07Rik	1	2	1	1	1	0	1	1
1300017J02Rik	0	0	0	0	0	0	0	2
1500009C09Rik	0	0	0	0	0	0	0	0
1500009L16Rik	0	0	0	0	0	0	0	0
1500011B03Rik	60	45	44	67	12	14	30	31
1520401A03Rik	0	0	0	0	0	0	1	0
1600002K03Rik	47	38	37	53	26	15	45	68
1600012H06Rik	15	4	14	14	21	1	15	15
1600014C10Rik	64	21	47	34	56	12	58	51
1600014C23Rik	0	0	0	0	0	0	0	0
1700001C02Rik	0	0	0	0	0	0	0	0
1700001C19Rik	0	0	1	3	0	0	0	0
1700001F09Rik	0	0	0	0	0	0	0	0
1700001J03Rik	0	0	0	0	0	0	0	0
1700001K19Rik	0	0	0	0	0	0	0	0
1700001L19Rik	0	0	0	0	0	0	0	0
1700001O22Rik	0	0	0	0	0	0	0	1
1700001P01Rik	0	0	0	0	0	0	0	0
1700003E16Rik	0	0	0	0	0	0	0	0
1700003F12Rik	0	0	0	0	0	0	0	0
1700003H04Rik	0	0	0	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0	0	0
1700007K13Rik	0	0	0	0	0	0	0	0
1700008O03Rik	0	0	0	2	1	0	2	3
1700008P02Rik	0	0	0	0	0	0	0	0
1700009N14Rik	0	0	0	0	0	0	0	0
1700010B08Rik	0	0	0	0	0	0	0	0
1700010I14Rik	39	22	36	24	19	5	31	17
1700011L22Rik	0	0	0	0	0	0	0	0
1700011M02Rik	0	0	0	0	0	0	0	0
1700012A03Rik	0	0	0	0	0	0	0	0
1700012B07Rik	0	0	0	0	0	1	0	0
1700012B09Rik	1	1	1	2	3	1	3	5
1700012P22Rik	0	0	0	0	0	0	0	0
1700013F07Rik	0	0	0	0	0	0	0	0
1700013G24Rik	0	0	0	0	0	0	0	0
1700013H16Rik	0	0	0	0	0	0	0	0
1700014D04Rik	0	0	0	0	0	0	0	0
1700015F17Rik	0	0	0	0	0	0	0	0
1700015G11Rik	0	0	0	0	0	0	0	0
1700016C15Rik	0	0	0	0	0	0	0	0
1700016D06Rik	0	0	0	0	0	0	0	0
1700016H13Rik	0	0	0	0	0	0	0	0
1700016K19Rik	0	0	0	0	0	0	0	0
1700017B05Rik	58	19	38	40	80	28	66	59
1700017D01Rik	0	0	0	0	0	0	0	0
1700017N19Rik	0	0	0	0	0	0	0	0
1700018B08Rik	0	0	0	0	0	0	0	0
1700018F24Rik	0	0	0	0	0	0	0	0
1700018G05Rik	0	0	0	0	0	0	0	0
1700019A02Rik	0	0	0	0	0	0	0	0
1700019D03Rik	0	0	2	1	1	0	0	1
1700019N19Rik	0	0	0	0	0	0	0	0
1700020A23Rik	0	0	0	0	0	0	0	0
1700020D05Rik	0	0	0	1	1	0	1	1
1700020L24Rik	47	36	33	44	34	4	46	54
1700020N01Rik	0	0	0	0	0	0	0	0
1700020N15Rik	0	0	0	0	0	0	0	0
1700021F05Rik	94	49	54	76	38	13	39	31
1700021F07Rik	0	0	0	0	0	0	0	0
1700022I11Rik	0	0	0	0	0	0	0	0
1700023F06Rik	0	0	0	0	0	0	0	0
1700024B05Rik	0	0	0	0	0	0	0	0
1700024G13Rik	0	0	0	0	0	0	0	0
1700024P04Rik	0	0	0	0	0	0	0	0
1700025B11Rik	0	0	0	0	0	0	0	0
1700025C18Rik	0	0	0	0	0	0	0	0
1700025F22Rik	0	0	0	0	0	0	0	0
1700025G04Rik	5	0	5	5	9	3	6	6
1700028J19Rik	0	0	0	2	0	1	2	2
1700028K03Rik	0	0	0	0	0	0	0	0
1700028P14Rik	0	0	0	0	0	0	0	0
1700029F12Rik	0	0	0	0	0	0	0	0
1700029H14Rik	1	0	0	0	0	0	0	0
1700029I15Rik	0	0	0	0	0	0	0	0
1700029J07Rik	2	0	1	0	0	0	0	1
1700029P11Rik	0	0	0	0	0	0	0	0
1700030J22Rik	0	0	1	0	1	2	1	0
1700030K09Rik	13	5	7	12	10	7	10	13
1700031F05Rik	0	0	0	0	0	0	0	0
1700031L13Rik	0	0	0	0	0	0	0	0
1700034E13Rik	0	0	0	0	0	0	0	0
1700034I23Rik	0	0	0	0	0	0	0	0
1700034J05Rik	0	0	0	0	0	0	0	0
1700037C18Rik	6	3	6	5	12	4	10	11
1700037H04Rik	10	7	14	16	51	5	31	30
1700040F15Rik	0	0	0	0	0	0	0	0
1700042G07Rik	0	0	0	0	0	0	0	0
1700047I17Rik2	0	0	0	0	0	0	0	0
1700049E17Rik1	0	0	0	0	0	0	0	0
1700049E17Rik2	0	0	0	0	0	0	0	0
1700056E22Rik	0	0	0	1	0	0	2	1
1700057G04Rik	0	0	0	0	0	0	0	0
1700061G19Rik	0	1	0	0	0	0	0	0
1700064H15Rik	0	0	0	0	0	0	0	0
1700066B19Rik	0	0	1	0	2	0	0	0
1700066M21Rik	19	10	13	13	17	5	10	18
1700067K01Rik	0	0	0	0	0	0	0	0
1700067P10Rik	0	0	0	0	0	0	0	0
1700069L16Rik	0	0	0	0	0	0	0	0
1700074P13Rik	0	0	0	0	0	0	0	0
1700080O16Rik	0	0	0	0	0	0	0	0
