transcript	RIBO_GMP_Ven_A	RIBO_GMP_Ven_B	RIBO_GMP_vehicle_A	RIBO_GMP_vehicle_B	RIBO_HSC_Ven_A	RIBO_HSC_Ven_B	RIBO_HSC_vehicle_A	RIBO_HSC_vehicle_B	RIBO_GMP_Ven_A_21	RIBO_GMP_Ven_B_21	RIBO_GMP_vehicle_A_21	RIBO_GMP_vehicle_B_21	RIBO_HSC_Ven_A_21	RIBO_HSC_Ven_B_21	RIBO_HSC_vehicle_A_21	RIBO_HSC_vehicle_B_21
0610009B22Rik	5	1	1	2	3	2	5	2	3	0	1	0	1	0	0	0
0610010F05Rik	112	28	76	56	37	11	45	26	20	11	25	6	38	4	19	16
0610010K14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610012G03Rik	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
0610030E20Rik	49	20	25	32	65	31	67	62	10	9	18	11	72	20	56	41
0610040J01Rik	0	2	1	1	14	1	7	3	2	0	1	0	13	1	5	1
1110002E22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110004F10Rik	348	162	276	225	162	77	203	198	65	51	68	63	89	27	62	74
1110008P14Rik	31	8	22	25	5	2	17	15	2	2	8	1	12	1	7	6
1110012L19Rik	64	23	37	31	14	7	28	26	9	1	6	1	5	2	7	8
1110017D15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110025L11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110032A03Rik	1	0	1	1	6	0	4	3	1	0	3	1	9	2	4	7
1110032F04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110038F14Rik	12	13	12	22	36	5	16	19	6	5	5	4	52	11	18	12
1110051M20Rik	11	4	4	4	3	0	0	3	0	0	0	2	0	0	2	1
1110057P08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110059E24Rik	45	13	25	23	16	11	18	17	3	3	11	5	17	5	7	3
1110059G10Rik	36	16	29	32	28	9	32	40	8	5	8	4	13	5	5	7
1110065P20Rik	0	0	0	1	0	0	2	1	0	0	1	0	1	0	1	1
1190005I06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1190007I07Rik	1	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0
1300017J02Rik	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0
1500009C09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500009L16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500011B03Rik	84	58	65	81	26	22	33	41	9	6	11	11	1	1	7	3
1520401A03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600002K03Rik	38	24	29	35	33	14	35	51	8	8	9	7	20	5	12	17
1600012H06Rik	15	6	6	14	6	0	5	15	7	0	4	1	12	2	8	14
1600014C10Rik	75	19	34	41	35	12	60	42	13	10	13	9	29	4	19	26
1600014C23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001C02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001C19Rik	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1700001F09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001J03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001K19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001L19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001O22Rik	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
1700001P01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003E16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1700003F12Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003H04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700007K13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700008O03Rik	0	0	0	3	1	0	1	3	0	0	0	0	1	0	1	0
1700008P02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700009N14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010B08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010I14Rik	56	28	46	30	19	6	33	21	13	5	13	15	21	4	16	10
1700011L22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700011M02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012A03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012B07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1700012B09Rik	2	0	0	2	4	2	2	3	0	0	1	0	1	0	0	2
1700012P22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013F07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013G24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013H16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700014D04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700015F17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700015G11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016C15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016D06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016H13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016K19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700017B05Rik	74	17	38	50	55	25	61	56	16	12	23	16	92	25	36	38
1700017D01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700017N19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018B08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018F24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018G05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019A02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019D03Rik	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1700019N19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020A23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020D05Rik	0	0	0	0	0	0	0	0	0	1	0	1	2	1	2	0
1700020L24Rik	66	45	47	48	36	1	43	52	17	16	23	26	51	12	46	48
1700020N01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020N15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700021F05Rik	127	55	67	87	42	15	45	41	21	11	16	22	33	5	21	15
1700021F07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700022I11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700023F06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700024B05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700024G13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700024P04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025B11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025C18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025F22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025G04Rik	5	0	2	3	5	3	2	0	2	0	1	1	1	1	1	1
1700028J19Rik	1	0	0	2	0	1	2	4	0	1	1	0	0	0	0	1
1700028K03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700028P14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029F12Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029H14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029I15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029J07Rik	2	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0
1700029P11Rik	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1700030J22Rik	1	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0
1700030K09Rik	22	7	6	17	15	10	14	10	6	2	2	3	12	5	9	7
1700031F05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700031L13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700034E13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700034I23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1700034J05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700037C18Rik	2	3	7	1	4	3	9	8	0	0	0	0	7	2	3	1
1700037H04Rik	9	5	10	15	38	6	28	29	2	0	2	2	16	1	12	7
1700040F15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700042G07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
