	RNA_HSC_vehicle_B	RNA_HSC_Ven_A	RNA_HSC_vehicle_A	RNA_HSC_Ven_B	RNA_GMP_Ven_A	RNA_GMP_vehicle_A	RNA_GMP_Ven_B	RNA_GMP_vehicle_B
Xkr4-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rp1-203	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0
Sox17-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mrpl15-206	1815.0	1709.0	1613.0	1392.0	1209.0	1128.0	570.0	1917.0
Lypla1-201	434.0	508.0	532.0	422.0	386.0	16.0	53.0	20.0
Gm37988-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tcea1-201	2084.0	2090.0	1961.0	1682.0	1558.0	689.0	427.0	775.0
Rgs20-201	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0
Atp6v1h-201	3718.0	3824.0	3978.0	3399.0	2756.0	863.0	891.0	743.0
Oprk1-204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Npbwr1-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rb1cc1-201	2113.0	1943.0	2369.0	1850.0	2237.0	733.0	335.0	475.0
Alkal1-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
St18-208	0.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0
Pcmtd1-201	217.0	150.0	225.0	174.0	249.0	31.0	33.0	21.0
Sntg1-207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rrs1-201	854.0	1006.0	1077.0	900.0	600.0	341.0	286.0	188.0
Adhfe1-203	130.0	127.0	142.0	106.0	96.0	1.0	22.0	0.0
Vxn-201	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Mybl1-201	21.0	26.0	27.0	33.0	9.0	8.0	5.0	2.0
Vcpip1-201	1626.0	1661.0	1999.0	1396.0	1308.0	281.0	196.0	171.0
Sgk3-203	7300.0	7427.0	7993.0	5008.0	5169.0	391.0	949.0	326.0
Mcmdc2-205	23.0	9.0	8.0	4.0	5.0	12.0	4.0	0.0
Tcf24-202	906.0	1315.0	1207.0	686.0	6.0	0.0	0.0	2.0
Ppp1r42-201	495.0	449.0	408.0	260.0	67.0	43.0	17.0	33.0
Cops5-201	2792.0	2371.0	2334.0	2218.0	1769.0	1150.0	621.0	1449.0
Cspp1-201	669.0	612.0	680.0	520.0	598.0	364.0	82.0	145.0
Arfgef1-201	2278.0	1994.0	2588.0	2050.0	2119.0	195.0	286.0	161.0
Cpa6-201	13.0	4.0	4.0	1.0	0.0	0.0	0.0	0.0
Prex2-201	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
A830018L16Rik-201	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Sulf1-202	5.0	3.0	5.0	0.0	0.0	0.0	0.0	1.0
Slco5a1-202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Prdm14-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ncoa2-201	298.0	262.0	444.0	348.0	362.0	36.0	36.0	25.0
Tram1-201	8568.0	8477.0	10727.0	8069.0	6324.0	365.0	1093.0	487.0
Lactb2-201	521.0	387.0	528.0	412.0	273.0	64.0	47.0	130.0
Xkr9-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eya1-201	1137.0	1099.0	1502.0	1012.0	652.0	34.0	76.0	46.0
Msc-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Trpa1-201	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Kcnb2-201	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Terf1-203	1479.0	1230.0	1345.0	1101.0	1171.0	798.0	339.0	467.0
Sbspon-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930444P10Rik-202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rpl7-201	9553.0	8787.0	7747.0	7122.0	7931.0	18400.0	4302.0	23367.0
Rdh10-201	53.0	55.0	96.0	63.0	21.0	21.0	7.0	14.0
Stau2-217	516.0	379.0	524.0	396.0	164.0	29.0	43.0	12.0
Ube2w-207	594.0	649.0	663.0	448.0	625.0	119.0	141.0	168.0
Eloc-208	1038.0	895.0	848.0	774.0	715.0	2102.0	333.0	2225.0
Tmem70-203	735.0	760.0	767.0	593.0	791.0	193.0	259.0	281.0
Ly96-201	64.0	81.0	58.0	67.0	105.0	84.0	37.0	102.0
Jph1-201	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0
Gdap1-201	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0
Pi15-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Crispld1-201	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Crisp4-203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Defb18-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Defb41-202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tfap2d-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tfap2b-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pkhd1-201	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0
Il17a-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Il17f-201	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Mcm3-201	7119.0	7449.0	10823.0	6975.0	6386.0	1922.0	1885.0	1268.0
Paqr8-204	4.0	1.0	7.0	2.0	7.0	0.0	1.0	0.0
Efhc1-201	21.0	27.0	20.0	9.0	5.0	0.0	7.0	4.0
Tram2-201	28.0	51.0	40.0	21.0	20.0	1.0	2.0	0.0
Tmem14a-202	22.0	16.0	11.0	11.0	10.0	4.0	1.0	6.0
Gsta3-201	0.0	0.0	0.0	0.0	0.0	5.0	0.0	1.0
Khdc1a-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Khdc1c-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Khdc1b-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Kcnq5-201	22.0	14.0	22.0	32.0	34.0	11.0	6.0	0.0
Rims1-205	0.0	0.0	4.0	3.0	5.0	1.0	0.0	0.0
4933415F23Rik-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ogfrl1-201	5756.0	5370.0	6951.0	5324.0	6387.0	869.0	1921.0	2047.0
B3gat2-201	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0
Smap1-201	613.0	456.0	705.0	533.0	484.0	420.0	182.0	334.0
Sdhaf4-201	314.0	270.0	289.0	227.0	245.0	606.0	153.0	471.0
Fam135a-201	13.0	0.0	4.0	1.0	27.0	6.0	4.0	6.0
Col9a1-201	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Col19a1-202	20.0	13.0	77.0	11.0	913.0	95.0	152.0	21.0
Lmbrd1-206	1321.0	1218.0	1394.0	1186.0	1097.0	57.0	221.0	136.0
Adgrb3-207	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0
4931408C20Rik-201	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm597-201	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
Phf3-205	1611.0	1469.0	1918.0	1618.0	858.0	323.0	192.0	239.0
Ptp4a1-203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ptp4a1-204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm5698-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4931428L18Rik-207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lgsn-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Pih1d3-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Khdrbs2-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm5415-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Prim2-201	1440.0	1309.0	1439.0	1129.0	980.0	167.0	309.0	248.0
Rab23-201	50.0	36.0	39.0	36.0	23.0	1.0	3.0	0.0
Bag2-201	141.0	143.0	140.0	125.0	94.0	4.0	23.0	24.0
