reference	RNA_GMP_Ven_A	RNA_GMP_Ven_B	RNA_GMP_vehicle_A	RNA_GMP_vehicle_B	RNA_HSC_Ven_A	RNA_HSC_Ven_B	RNA_HSC_vehicle_A	RNA_HSC_vehicle_B
0610009B22Rik	438.0	495.0	555.0	399.0	319.0	252.0	538.0	185.0
0610010F05Rik	1901.0	2075.0	2104.0	1854.0	291.0	436.0	1293.0	228.0
0610010K14Rik	159.0	165.0	115.0	159.0	400.0	381.0	105.0	64.0
0610012G03Rik	601.0	616.0	613.0	540.0	904.0	723.0	511.0	260.0
0610030E20Rik	2154.0	1447.0	1400.0	1294.0	500.0	717.0	1258.0	353.0
0610040J01Rik	94.0	65.0	61.0	84.0	60.0	87.0	162.0	67.0
1110002E22Rik	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
1110004F10Rik	3941.0	4207.0	3636.0	3595.0	1584.0	1459.0	2556.0	985.0
1110008P14Rik	209.0	220.0	167.0	217.0	910.0	235.0	211.0	124.0
1110012L19Rik	311.0	312.0	307.0	251.0	206.0	97.0	288.0	110.0
1110017D15Rik	1.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0
1110025L11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1110032A03Rik	139.0	157.0	142.0	163.0	95.0	104.0	186.0	42.0
1110032F04Rik	18.0	73.0	52.0	57.0	7.0	0.0	2.0	1.0
1110038F14Rik	474.0	496.0	481.0	515.0	871.0	1102.0	388.0	241.0
1110051M20Rik	146.0	165.0	100.0	121.0	37.0	39.0	63.0	27.0
1110057P08Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1110059E24Rik	975.0	1074.0	1084.0	890.0	537.0	635.0	1150.0	415.0
1110059G10Rik	401.0	572.0	379.0	443.0	767.0	757.0	591.0	244.0
1110065P20Rik	62.0	54.0	46.0	30.0	49.0	11.0	31.0	23.0
1190005I06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1190007I07Rik	234.0	228.0	199.0	241.0	394.0	421.0	151.0	73.0
1300017J02Rik	0.0	0.0	2.0	2.0	0.0	7.0	0.0	0.0
1500009C09Rik	1.0	2.0	3.0	8.0	2.0	6.0	4.0	6.0
1500009L16Rik	0.0	2.0	0.0	0.0	1.0	0.0	5.0	1.0
1500011B03Rik	181.0	233.0	197.0	219.0	167.0	212.0	119.0	85.0
1520401A03Rik	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0
1600002K03Rik	152.0	150.0	146.0	113.0	543.0	248.0	112.0	86.0
1600012H06Rik	903.0	850.0	887.0	692.0	337.0	340.0	865.0	222.0
1600014C10Rik	4224.0	3852.0	3475.0	3467.0	839.0	779.0	3235.0	834.0
1600014C23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700001C02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700001C19Rik	15.0	4.0	8.0	13.0	1.0	2.0	6.0	0.0
