pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge
RA_mRNA_Splicing_-_Major_Pathway%R-MMU-72163,0.001278772,0.031309087,-0.499485253,-1.649288286,0,176,POLR2L;SNRPF;POLR2F;RBM8A;SNRPD1;LSM7;SNRPE;DDX23;LSM5;LUC7L3;LSM4;POLR2H;MAGOH;UBL5;LSM8;SF3B6;LSM6;SNRNP27;SNRPD3;UPF3B;SNRPD2;ZMAT2;BCAS2;MAGOHB;RBMX2;PRKRIP1;POLR2I;SNRPG;BUD31;LSM3;PHF5A;U2AF1;SRSF9;PPIL3;CWC15;CCDC12;ACIN1;SYF2;HNRNPH1;FAM32A;PPIG;NCBP2;ISY1;SNRNP70;HNRNPA3;GTF2F2;LSM2;NKAP;RBM25;POLR2E;SNRPC;SRSF3;RBM17;POLR2G;LENG1;SRSF5;ALYREF;NSRP1;SNRPA1;SMNDC1
RA_mRNA_Splicing%R-MMU-72172,0.001267427,0.031309087,-0.509092751,-1.687517845,0,182,POLR2L;SNRPF;POLR2F;RBM8A;SNRPD1;LSM7;SNRPE;DDX23;LSM5;LUC7L3;LSM4;POLR2H;MAGOH;UBL5;LSM8;SF3B6;LSM6;SNRNP27;ZCRB1;SNRPD3;UPF3B;SNRPD2;ZMAT2;BCAS2;MAGOHB;RBMX2;PRKRIP1;POLR2I;SNRPG;BUD31;LSM3;SNRNP48;PHF5A;U2AF1;SRSF9;PPIL3;CWC15;CCDC12;ACIN1;SYF2;HNRNPH1;FAM32A;SNRNP25;PPIG;NCBP2;ISY1;SNRNP70;HNRNPA3;GTF2F2;LSM2;NKAP;RBM25;POLR2E;SNRPC;SRSF3;RBM17;POLR2G;LENG1;SRSF5;ZMAT5;ALYREF;NSRP1;SNRPA1;SMNDC1
RA_Major_pathway_of_rRNA_processing_in_the_nucleolus_and_cytosol%R-MMU-6791226,0.001308901,0.031309087,-0.677184006,-2.191355469,0,144,RPS21;RPL38;RPS12;RPL22;RPLP1;RPL35A;RPLP2;RPL23;RPS27L;RPS15A;RPS20;RPS24;RPL34;RPL30;RPS15;RPS29;RPS23;RPS28;RPS16;RPS17;RPS10;RPL36A;RPL27A;RPS9;RPL37A;RPL28;RPS14;RPL31;RPL39;RPL18;RPL26;RPL27;RPSA;RPL8;RPS25;RPS5;RPL11;EMG1;RPL32;FCF1;RPS13;RPL24;RPS4X;RPS8;RPS6;RPL14;RPL19;RPS19;EXOSC3;RPL7;RPL18A;RPL6;RPL9;RPL13;RPLP0;MPHOSPH6;RPL23A;RPS18;FBL;EXOSC2;RPS3;RPS11;NIP7
RA_rRNA_processing%R-MMU-72312,0.001308901,0.031309087,-0.677184006,-2.191355469,0,144,RPS21;RPL38;RPS12;RPL22;RPLP1;RPL35A;RPLP2;RPL23;RPS27L;RPS15A;RPS20;RPS24;RPL34;RPL30;RPS15;RPS29;RPS23;RPS28;RPS16;RPS17;RPS10;RPL36A;RPL27A;RPS9;RPL37A;RPL28;RPS14;RPL31;RPL39;RPL18;RPL26;RPL27;RPSA;RPL8;RPS25;RPS5;RPL11;EMG1;RPL32;FCF1;RPS13;RPL24;RPS4X;RPS8;RPS6;RPL14;RPL19;RPS19;EXOSC3;RPL7;RPL18A;RPL6;RPL9;RPL13;RPLP0;MPHOSPH6;RPL23A;RPS18;FBL;EXOSC2;RPS3;RPS11;NIP7
RA_rRNA_processing_in_the_nucleus_and_cytosol%R-MMU-8868773,0.001308901,0.031309087,-0.677184006,-2.191355469,0,144,RPS21;RPL38;RPS12;RPL22;RPLP1;RPL35A;RPLP2;RPL23;RPS27L;RPS15A;RPS20;RPS24;RPL34;RPL30;RPS15;RPS29;RPS23;RPS28;RPS16;RPS17;RPS10;RPL36A;RPL27A;RPS9;RPL37A;RPL28;RPS14;RPL31;RPL39;RPL18;RPL26;RPL27;RPSA;RPL8;RPS25;RPS5;RPL11;EMG1;RPL32;FCF1;RPS13;RPL24;RPS4X;RPS8;RPS6;RPL14;RPL19;RPS19;EXOSC3;RPL7;RPL18A;RPL6;RPL9;RPL13;RPLP0;MPHOSPH6;RPL23A;RPS18;FBL;EXOSC2;RPS3;RPS11;NIP7
RA_TP53_Regulates_Metabolic_Genes%R-MMU-5628897,0.001470588,0.031309087,-0.694225381,-1.889771614,0,40,LAMTOR4;LAMTOR2;NDUFA4;COX4I1;COX6B1;COX8A;COX20;COX6A1;MT-CO2;COX5A;COX16;COX7B;PRDX5;LAMTOR5;MT-CO1
RA_The_citric_acid_(TCA)_cycle_and_respiratory_electron_transport%R-MMU-1428517,0.001356852,0.031309087,-0.739361418,-2.332050212,0,109,NDUFA5;NDUFA1;NDUFA3;UQCRQ;NDUFB3;UQCRH;NDUFA2;NDUFB7;NDUFS6;NDUFB8;NDUFB10;NDUFAF2;NDUFA4;NDUFA13;NDUFS5;NDUFB11;COX4I1;ETFB;COX6B1;COX8A;COX20;COX6A1;MT-CO2;COX5A;NDUFB9;NDUFB6;NDUFS4;NDUFA6;NDUFC2;NDUFB2;COX16;COX7B;NDUFB5;UQCR10;NDUFC1;NDUFS7;NDUFAF3;NDUFA7;NDUFA12;NDUFA8;FAHD1
RA_Mitochondrial_translation%R-MMU-5368287,0.001390821,0.031309087,-0.742782109,-2.240926069,0,80,MRPS25;MRPL52;MRPL51;MRPS21;MRPL23;MRPS28;MRPS12;GADD45GIP1;MRPL24;MRPS33;MRPS18C;MRPS14;MRPL34;MRPL12;MRPL13;CHCHD1;MRPL54;MRPS24;AURKAIP1;MRPL14;MRPL47;MRPS15;MRPS26;MRPL57;MRPL2;MRPL20;MRPL21;MRPL55;MRPL41;MRPL11;MRPL48;MRPL22;MRPS16;MRPL18;MRPS18A;MRPS23;MRPL58;MRPL42;MRPL30;MRPL28;MRPL9;MRPS17;MRPL40;MRPL17;MRPL16;MTRF1L;MRPL10;MRPL15;MRPL36
RA_Mitochondrial_translation_elongation%R-MMU-5389840,0.001398601,0.031309087,-0.74438637,-2.227515134,0,77,MRPS25;MRPL52;MRPL51;MRPS21;MRPL23;MRPS28;MRPS12;GADD45GIP1;MRPL24;MRPS33;MRPS18C;MRPS14;MRPL34;MRPL12;MRPL13;CHCHD1;MRPL54;MRPS24;AURKAIP1;MRPL14;MRPL47;MRPS15;MRPS26;MRPL57;MRPL2;MRPL20;MRPL21;MRPL55;MRPL41;MRPL11;MRPL48;MRPL22;MRPS16;MRPL18;MRPS18A;MRPS23;MRPL58;MRPL42;MRPL30;MRPL28;MRPL9;MRPS17;MRPL40;MRPL17;MRPL16
RA_Mitochondrial_translation_termination%R-MMU-5419276,0.001396648,0.031309087,-0.744894776,-2.238697696,0,79,MRPS25;MRPL52;MRPL51;MRPS21;MRPL23;MRPS28;MRPS12;GADD45GIP1;MRPL24;MRPS33;MRPS18C;MRPS14;MRPL34;MRPL12;MRPL13;CHCHD1;MRPL54;MRPS24;AURKAIP1;MRPL14;MRPL47;MRPS15;MRPS26;MRPL57;MRPL2;MRPL20;MRPL21;MRPL55;MRPL41;MRPL11;MRPL48;MRPL22;MRPS16;MRPL18;MRPS18A;MRPS23;MRPL58;MRPL42;MRPL30;MRPL28;MRPL9;MRPS17;MRPL40;MRPL17;MRPL16;MTRF1L;MRPL10;MRPL15;MRPL36
