"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"0610010F05Rik",413.280088554313,1.29052986217712e-06,0.00144268261518863,0.66953361313715,0.999856529260043
"0610030E20Rik",289.573248975586,-1.65302246443934e-06,0.00144268312834761,0.580750582880768,0.999856529260043
"1110004F10Rik",1079.91423646386,1.31119408497309e-07,0.00144267249653465,0.973758234856978,0.999856529260043
"1110008P14Rik",69.4005274531493,-1.6592082967589e-06,0.0014426898365687,0.414312791005719,0.999856529260043
"1110012L19Rik",112.097148059596,1.97449036724374e-06,0.00144268694788578,0.432913527474743,0.999856529260043
"1110038F14Rik",105.005013558554,1.36887221681477e-07,0.0014426892455532,0.944873612419673,0.999856529260043
"1110059E24Rik",192.868483324122,4.16570371987307e-07,0.00144268581586424,0.870563732694359,0.999856529260043
"1110059G10Rik",122.058959441553,-1.24878710844164e-06,0.00144268827813538,0.57987700410834,0.999856529260043
"1500011B03Rik",174.563131171214,9.97056788189845e-07,0.00144268593097849,0.699617641674161,0.999856529260043
"1600002K03Rik",90.2579893286866,-1.27486887439864e-07,0.00144268777700058,0.955536070280082,0.999856529260043
"1600012H06Rik",136.44198904454,5.52244948560821e-07,0.00144268941888961,0.783813528659986,0.999856529260043
"1600014C10Rik",606.160017797027,2.1165997172354e-06,0.00144267943457374,0.537859996808988,0.999856529260043
"1700010I14Rik",123.911795545593,-3.52189354883228e-07,0.00144268555969843,0.893056388419349,0.999856529260043
"1700017B05Rik",236.997020010248,-4.26122848161128e-07,0.0014426817328023,0.891952663948924,0.999856529260043
"1700020L24Rik",197.807407322365,-1.196573969882e-06,0.0014426837967936,0.677120753528413,0.999856529260043
"1700021F05Rik",235.55072678411,7.04353021251711e-07,0.00144268060557574,0.827140647593654,0.999856529260043
"1700030K09Rik",69.8348710263069,1.44832587356729e-06,0.00144269047303521,0.442731631021738,0.999856529260043
"1700037H04Rik",59.411699426507,-2.70542401331901e-06,0.00144269213905497,0.120258910237098,0.999856529260043
"1700066M21Rik",99.816445456451,-3.61100581067976e-07,0.00144268871231564,0.867308399536681,0.999856529260043
"1700123O20Rik",387.699912524282,-7.28796172388981e-07,0.00144268262664739,0.80939257429534,0.999856529260043
"1810013L24Rik",111.122671048729,9.01894829160779e-07,0.00144268906364037,0.668801890007278,0.999856529260043
"1810030O07Rik",662.888394351462,-2.34097705296828e-06,0.00144267501701705,0.546808091932054,0.999856529260043
"1810037I17Rik",477.27499355428,8.45870419499806e-07,0.00144268070405561,0.791472232393175,0.999856529260043
"1810058I24Rik",172.721793410799,-1.13025194513461e-07,0.00144268396954628,0.968961585134504,0.999856529260043
"2010315B03Rik",71.1116155239595,-6.9101084515094e-07,0.00144269109853663,0.686512814235314,0.999856529260043
"2210016F16Rik",377.301142352334,-9.14682944695174e-07,0.00144267893295939,0.790628652992624,0.999856529260043
"2210016L21Rik",194.644824571007,-9.84999713078154e-07,0.00144268101586323,0.758279793508514,0.999856529260043
"2310009A05Rik",137.484363619204,1.61985368291067e-06,0.00144268610835677,0.533991360454434,0.999856529260043
"2310022A10Rik",98.646928480831,-3.17268290682829e-06,0.00144269070194317,0.130839881540701,0.999856529260043
"2310022B05Rik",56.7568280395327,2.11265015848502e-08,0.00144269112325022,0.988576749309467,0.999856529260043
"2310033P09Rik",120.34565559445,2.46128657899465e-06,0.00144268651015908,0.349718580191967,0.999856529260043
"2310057M21Rik",101.421689500893,3.57257675928265e-07,0.0014426874292438,0.877940474602616,0.999856529260043
"2310061I04Rik",39.141412470241,8.87421884999417e-07,0.00144269181804425,0.56801307060537,0.999856529260043
"2410002F23Rik",219.519403831885,-4.36114262012768e-06,0.00144268787026423,0.113716147883981,0.999856529260043
"2410004B18Rik",128.269171863834,-1.37994125661331e-06,0.001442686745092,0.580972387697337,0.999856529260043
"2510039O18Rik",437.349907686913,-3.10648585721635e-06,0.0014426807145933,0.360529004279187,0.999856529260043
"2610001J05Rik",300.876495420941,1.53457176026795e-06,0.00144268962362441,0.45277862186034,0.999856529260043
"2610002M06Rik",187.704510070052,-1.32419964678718e-06,0.00144268366289862,0.649020934277324,0.999856529260043
"2610008E11Rik",67.6684110236989,-1.4875832990617e-06,0.0014426913793491,0.383405627845966,0.999856529260043
"2610021A01Rik",90.6375197781172,3.79106545094144e-07,0.00144269059210803,0.831854777409422,0.999856529260043
"2610507B11Rik",1187.09932182382,-5.17951623577779e-06,0.0014426787468313,0.183713661494717,0.999856529260043
"2700049A03Rik",216.609579873449,1.33277885170197e-06,0.00144268072476526,0.680705255511194,0.999856529260043
"2700097O09Rik",55.1549259307268,2.54921940032234e-06,0.00144269222638819,0.132748510849857,0.999856529260043
"2810004N23Rik",315.638008543426,1.28198249007257e-06,0.00144267729630248,0.721567352576585,0.999856529260043
"2810006K23Rik",189.087905996075,-8.1258244805347e-07,0.00144268202632697,0.792157926169863,0.999856529260043
"3110009E18Rik",35.4533961200429,-5.97145072889972e-06,0.00144269771547305,0.458692016745372,0.999856529260043
"3110040N11Rik",97.7682938481551,2.77156840062696e-06,0.0014426882226732,0.253088846125165,0.999856529260043
"3110082I17Rik",193.780585745326,2.10881677824916e-06,0.0014426839232534,0.469761860287481,0.999856529260043
"3830406C13Rik",231.527467648346,-2.04509063518572e-06,0.00144268821883992,0.378791753666025,0.999856529260043
"4833420G17Rik",232.122827208936,-1.87764069847258e-06,0.00144268427718412,0.514635048974892,0.999856529260043
"4833439L19Rik",338.392166317384,-1.22944313531186e-06,0.00144269007643797,0.528782749678635,0.999856529260043
"4921524J17Rik",254.611509199219,-1.03544155753689e-07,0.00144268275471654,0.973259677258713,0.999856529260043
"4930402H24Rik",71.8890118405828,-2.34813441817602e-06,0.00144268982720178,0.268373032818256,0.999856529260043
"4930430F08Rik",40.3992971251221,1.48868650119966e-06,0.00144269184893777,0.353342737417694,0.999856529260043
"4930438A08Rik",279.458714386973,-3.8018500705544e-06,0.00144268377743075,0.228152033798275,0.999856529260043
"4930453N24Rik",224.876438007742,3.32596826083521e-07,0.0014426822250053,0.912202467354803,0.999856529260043
"4930579G24Rik",198.744824477908,-1.92982410316272e-06,0.00144269038091126,0.329069595249586,0.999856529260043
"4931406C07Rik",71.9735725356445,-1.54342818246952e-06,0.00144268910591803,0.472723481011552,0.999856529260043
"4931406P16Rik",80.6748257843305,1.65942465226289e-06,0.00144268910937707,0.440293105636931,0.999856529260043
"4931414P19Rik",32.2432383105315,4.2381679972483e-08,0.00144269227752243,0.974867689883294,0.999856529260043
"4932438A13Rik",1246.72433661849,-1.36392881542261e-06,0.00144266727449064,0.762149038387371,0.999856529260043
"5031439G07Rik",195.189071215958,-6.49588976012764e-07,0.00144268758982137,0.782576019972458,0.999856529260043
"5430427O19Rik",105.001284424739,2.58590072114117e-06,0.00144268926043119,0.246369757634383,0.999856529260043
