"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"0610010F05Rik",141.266365908794,0.269174232214459,0.452499864014126,0.412613142638111,0.673505409876173
"0610030E20Rik",246.25198263176,0.0730402159017065,0.378785353078108,0.805456286335481,0.913168454839913
"1110004F10Rik",570.870445187476,-0.166912434762998,0.3925628526167,0.590467994519102,0.801224736300153
"1110008P14Rik",93.8621700363948,-2.34037239529904,1.02376825239756,0.00127967090130306,0.0153676329090316
"1110012L19Rik",61.2328825213616,-0.386674164967741,0.564594365298375,0.256858517894389,0.528316777018152
"1110038F14Rik",173.342367022697,-0.519900204797183,0.5315788223257,0.150958453181635,0.388848915131244
"1110059E24Rik",151.585281070288,0.365158888557994,0.474847534836338,0.275340004904978,0.54912216802976
"1110059G10Rik",152.093949257327,-1.07209479184194,0.592898590703117,0.012311053152067,0.0771298092953854
"1500011B03Rik",73.706119539738,-0.490902509061905,0.606129290618025,0.168098362011178,0.414120286751267
"1600002K03Rik",106.885571862264,-1.89198314469609,0.856643531983023,0.00179378673876595,0.0194453680903065
"1600012H06Rik",90.4279307990124,-0.319835132512913,0.521180433061944,0.347335217629793,0.617429766194338
"1600014C10Rik",295.825130462557,0.151742676055943,0.399901371549448,0.625001053488858,0.817423500534119
"1700010I14Rik",62.3775713029636,-0.243140507155214,0.470252343802662,0.45977591645659,0.710688721626715
"1700017B05Rik",247.903612482015,-0.161674879752687,0.386629847116215,0.599466206312015,0.806035273704453
"1700020L24Rik",171.244148435496,-2.07104382153033,0.730373066986253,0.000344511814791027,0.0056369372172468
"1700021F05Rik",162.360913600069,-1.54178320330483,0.598875349421558,0.00108799392138835,0.0135162321772476
"1700030K09Rik",64.3156406382872,-0.123782852481205,0.464490089222237,0.697544701673441,0.85957051167074
"1700037H04Rik",138.024351955247,-0.637731536277129,0.603905254760251,0.0995145033126168,0.303719778509184
"1700066M21Rik",63.9523408134576,0.345662446782182,0.511030704062396,0.30566210082378,0.5799998218634
"1700123O20Rik",276.530386922071,-0.649878452667194,0.487487011249047,0.0710493048403406,0.245686355080337
"1810013L24Rik",66.6446351412957,-0.29095379303518,0.489020879454144,0.383779354295895,0.650143696350912
"1810030O07Rik",373.825739690112,0.0827345300428871,0.402370356288504,0.778753405333104,0.89784569005916
"1810037I17Rik",1425.28962912081,-3.42590511881825,0.545821854408933,2.03764844716263e-11,1.67435197781124e-08
"1810058I24Rik",184.111293483919,-1.41863739089899,0.703434631954067,0.00475683214792547,0.0396979264708689
"2010315B03Rik",32.6641202548827,-0.117679687721664,0.517695211421163,0.703732174346222,0.862470556276946
"2210016F16Rik",344.879797765536,-0.710078686542653,0.554874710165198,0.0657064202266061,0.234150459156009
"2210016L21Rik",139.886357654989,-0.569930999895669,0.578988588617237,0.124884308103666,0.346658899426226
"2310009A05Rik",89.8483598107612,-2.52132513236341,0.727488957105458,3.42257851444774e-05,0.00102925197325858
"2310022A10Rik",70.9175789235697,0.71828078108926,0.587087964384772,0.06811536395068,0.239095522985016
"2310022B05Rik",43.1585876790087,0.00277584347681884,0.475789730548808,0.993142707734555,0.996800270934866
"2310033P09Rik",108.377946532962,-1.85053401128351,0.723240144309484,0.000770173485653548,0.0103174853585017
"2310057M21Rik",51.0832542275925,-0.22035246197496,0.484520017600508,0.499609308694723,0.740624304118083
"2310061I04Rik",34.5808825187339,-0.294624287487214,0.549884358911688,0.37358189505135,0.641906355082081
"2410002F23Rik",187.981894986221,-0.219005991079558,0.436220346227743,0.500167648438739,0.740719424605827
"2410004B18Rik",127.052319992916,-1.05983412307483,0.586448179464952,0.0129227432505133,0.0794776049983967
"2510039O18Rik",315.365181366178,-0.0420559759679981,0.380452381646356,0.892687188593335,0.954410318955802
"2610001J05Rik",335.40162557318,-0.975193108147802,0.664212036905137,0.0279514103322614,0.134231414927121
"2610002M06Rik",107.882762650636,-0.401631437056595,0.474805042620934,0.235017430517405,0.504700076715658
"2610008E11Rik",52.9998578265425,-0.103214019054677,0.465470062696544,0.745266254122975,0.881769165263056
"2610021A01Rik",40.2935669380421,0.217964307116115,0.523974938581303,0.493004672720068,0.734139872949287
"2610507B11Rik",729.337437847008,0.267016907957801,0.420738409411749,0.393308763051436,0.657719770752755
"2700049A03Rik",122.906513985082,1.28798634337978,0.562647862969567,0.00308154536958576,0.0289904608070738
"2700097O09Rik",35.7018715390011,0.0427892418417314,0.492979577734391,0.890934148557185,0.954233827381796
"2810004N23Rik",316.05874727274,-0.8789850161986,0.517129732647171,0.0231793411312106,0.117801301867883
"2810006K23Rik",106.98728055008,-0.474882482128266,0.541301151917492,0.184084603479572,0.438155520454516
"3110009E18Rik",41.8239802063663,-1.89523584524112,0.847189985360462,0.00164673446295322,0.018341214880479
"3110040N11Rik",171.86081176398,-1.84218468539483,0.605485258973303,0.000203636141578277,0.00373875955937717
"3110082I17Rik",120.881946326909,-0.323600795296526,0.509078351410037,0.33559149309371,0.608713271894811
"3830406C13Rik",135.505104900603,0.162681065053185,0.494492387763286,0.598836713269068,0.805573533080514
"4833420G17Rik",220.382109925766,-0.49733782064792,0.501820333611213,0.160172397856023,0.403834484447059
"4833439L19Rik",163.539628356973,1.59620357828545,0.618172071030882,0.00099328125222614,0.0125179274576072
"4921524J17Rik",192.545252713986,-0.578111640204512,0.523904792789771,0.113810081807609,0.327854684648665
"4930402H24Rik",55.721830317112,-0.000992970806072388,0.456848745416855,0.998539600060334,0.999115159102075
"4930430F08Rik",22.1440549054217,-0.134362865660348,0.523806860230562,0.660492012301177,0.84065248675986
"4930438A08Rik",103.815284880597,0.95510968668284,0.785021733142958,0.0360824146780211,0.159325131257714
"4930453N24Rik",169.891049776921,-0.366144118067528,0.456507130658133,0.277519748415218,0.551129526098174
"4930579G24Rik",128.714553832586,0.0523058979258644,0.424090207265102,0.865841400321634,0.943597785731279
"4931406C07Rik",83.5627393195366,-0.911264102132035,0.580778899223887,0.0257722483158481,0.126696605164888
"4931406P16Rik",52.4705834480656,-0.277460123090262,0.540326669818196,0.394121760295524,0.658329031131444
"4931414P19Rik",29.9515606876206,-0.324222518506072,0.553001972866557,0.325500724462007,0.598897231708438
"4932438A13Rik",453.813670904921,0.0436648707625211,0.409902966207905,0.886730039457741,0.952238268202886
"5031439G07Rik",200.390507329125,0.0766951592111859,0.396009710850048,0.801681725729926,0.910110170540313
"5430427O19Rik",123.560916104209,0.311488872648145,0.464985430518583,0.343678617321436,0.614709170348965
"5730409E04Rik",12.0019716882001,-3.77865946167001,1.49532680415965,0.000682822587170415,0.00949092070514508
"5730455P16Rik",74.7227821919357,0.0447329182701178,0.447607340782962,0.885222791889365,0.951562673248756
"5730480H06Rik",44.3481661904709,0.0149911163389537,0.479578049170698,0.962997830015072,0.98525388028642
"6030458C11Rik",153.772854360159,0.168067356640264,0.412605592469602,0.587661294363675,0.799194809045789
"6430548M08Rik",81.7939942465824,0.0821710094745332,0.43782253785224,0.791446052047395,0.904374338811621
"8030462N17Rik",143.265756387206,-1.52943887473586,0.566378992504915,0.000810261593674513,0.010739044617683
"9130401M01Rik",137.114140569083,-0.748096808713144,0.650868701562919,0.0645621473389417,0.232567735209794
"9430015G10Rik",52.8949614642562,-0.35565741852719,0.56915368777021,0.300022032862441,0.57429590618818
"9430038I01Rik",102.060703175543,-1.72767527166187,0.717954965799926,0.00145780070377941,0.0167336300869037
"9530068E07Rik",594.006244827481,0.150730763203156,0.371642769180612,0.617962944797557,0.814672896263577
"9930012K11Rik",24.4041242100482,-0.137898085990848,0.516944927465535,0.657630519030059,0.838847754133484
"9930021J03Rik",92.1757274267236,-0.314819028191514,0.473608343162528,0.353997349438339,0.624435858505613
"9930104L06Rik",35.3634319344758,-0.275371500715537,0.536323532622917,0.401341643832106,0.66503904158461
"A430005L14Rik",194.146576861237,-0.0791798680434844,0.50719947945191,0.798240308678207,0.908094668925469
"A630001G21Rik",148.530807809981,-1.30068060703381,0.61377442065384,0.00447557388146521,0.0378578853736742
"AB124611",443.950968516877,-1.37335084656805,0.499527409544367,0.000848574698273679,0.0111230505082111
