"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"0610010F05Rik",76.8618543717244,-4.60727101186376e-07,0.00144268369250398,0.870762113579742,0.999991806526935
"0610030E20Rik",42.0411767096925,9.7870691668107e-08,0.0014426865494557,0.970339070377392,0.999991806526935
"1110004F10Rik",305.621939377017,-2.59240009387263e-07,0.00144266579601622,0.953368807492736,0.999991806526935
"1110008P14Rik",22.9893852247409,-1.65265785626449e-06,0.00144269065690969,0.378653952639325,0.999991806526935
"1110012L19Rik",39.7722242626558,1.46054211988065e-06,0.00144268763183015,0.540249244488117,0.999991806526935
"1110038F14Rik",20.4592537099192,-3.01319598889266e-07,0.00144269127398686,0.851689412807639,0.999991806526935
"1110059E24Rik",29.793126750594,-4.04774916942863e-07,0.00144268889649942,0.846273442692672,0.999991806526935
"1110059G10Rik",33.2535862340975,-9.17969461340813e-07,0.00144268826013471,0.679122566105093,0.999991806526935
"1500011B03Rik",81.2704634081036,-2.68002180992868e-07,0.00144268269487226,0.926326634698792,0.999991806526935
"1600002K03Rik",39.594166722012,1.27629607144151e-07,0.00144268764306031,0.957620151077561,0.999991806526935
"1600012H06Rik",12.0603335780994,7.18561858551234e-08,0.00144269235499241,0.961319346549739,0.999991806526935
"1600014C10Rik",49.5248522096721,1.15730910296746e-06,0.00144268560133674,0.663898136741847,0.999991806526935
"1700010I14Rik",49.6706461241215,-3.37531054545444e-07,0.00144268560310284,0.895303616652832,0.999991806526935
"1700017B05Rik",57.1121224654885,-1.4575936326098e-06,0.0014426846257068,0.600876154554811,0.999991806526935
"1700020L24Rik",72.6481134740299,6.35674298350946e-07,0.00144268389306523,0.824105963497597,0.999991806526935
"1700021F05Rik",96.9986577100981,1.34872093216995e-06,0.00144267940090248,0.692473506118896,0.999991806526935
"1700030K09Rik",14.947694784437,6.45042469938715e-07,0.00144269206595001,0.666768194907116,0.999991806526935
"1700037H04Rik",10.8030428308019,-1.45185965406944e-06,0.00144269308276436,0.263191998576382,0.999991806526935
"1700066M21Rik",17.8613879349771,-2.35936570573845e-07,0.00144269111187942,0.886523950157227,0.999991806526935
"1700123O20Rik",70.8544079192183,-1.08314450844618e-06,0.00144268217928612,0.722195822746236,0.999991806526935
"1810013L24Rik",17.4827729253496,4.0712404329673e-07,0.0014426915944672,0.801211345832297,0.999991806526935
"1810030O07Rik",204.851072261353,-1.53033997765405e-06,0.00144267279255553,0.702720441655411,0.999991806526935
"1810037I17Rik",87.9314598290413,1.11915633081829e-06,0.00144268154077021,0.722733496401652,0.999991806526935
"1810058I24Rik",45.1002295556612,-3.04047124031237e-07,0.00144268593636027,0.903649706147197,0.999991806526935
"2010315B03Rik",11.8178015810734,-1.18116016513709e-07,0.00144269244406734,0.929117742417493,0.999991806526935
"2210016F16Rik",76.1586854060382,-1.69298777457909e-06,0.0014426825869308,0.579283411839428,0.999991806526935
"2210016L21Rik",79.8876839955983,-1.8251293523328e-06,0.00144268134656466,0.567587074300607,0.999991806526935
"2310009A05Rik",64.0318904395186,3.41555643002137e-07,0.00144268486783884,0.90198847720022,0.999991806526935
"2310022A10Rik",17.7567696634971,-1.79214564542462e-06,0.00144269176557666,0.281047841617425,0.999991806526935
"2310022B05Rik",10.1261101597248,-1.80753841286421e-07,0.00144269273213881,0.886944610016774,0.999991806526935
"2310033P09Rik",46.8120557341675,1.95422871779695e-06,0.00144268658609365,0.44868677021293,0.999991806526935
"2310057M21Rik",27.3769272440678,4.1694495320127e-08,0.00144268942199019,0.985513017453731,0.999991806526935
"2310061I04Rik",9.0595370964757,-2.26652083928476e-08,0.00144269294219669,0.983076774039567,0.999991806526935
"2410002F23Rik",29.4784790118431,-2.25693437312838e-06,0.00144268974919574,0.28504936124395,0.999991806526935
"2410004B18Rik",40.6078544501558,-1.99970638729388e-06,0.00144268748614678,0.411380016048857,0.999991806526935
"2510039O18Rik",99.4792768978957,-3.19444096430234e-06,0.00144268177767394,0.330459645140697,0.999991806526935
"2610001J05Rik",11.7377575073363,7.14513848755332e-07,0.00144269253164874,0.604462751792813,0.999991806526935
"2610002M06Rik",40.5843851446591,3.65206786869543e-07,0.00144268703681258,0.881258475344159,0.999991806526935
"2610008E11Rik",9.74191312665326,-4.77625003407337e-07,0.00144269293401417,0.697417429889021,0.999991806526935
"2610021A01Rik",11.8739791842814,-1.50604531291008e-08,0.0014426926290623,0.98855557030689,0.999991806526935
