"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"0610010F05Rik",51.510103190798,-0.337922301352596,0.391280288552901,0.0951879730655976,0.412960695346772
"0610030E20Rik",65.0970249232596,1.01991493303434,0.472119599020083,0.00192877652580839,0.0453156506832785
"1110004F10Rik",224.539847585626,-0.357708864831383,0.30447239537346,0.0745354635569953,0.373755782454916
"1110008P14Rik",12.3203670746449,-0.151420728975458,0.347533487809085,0.23042589990222,0.612178408190055
"1110012L19Rik",26.3770428915035,-0.717219464069413,0.803126964270952,0.0165719311346419,0.170545312952416
"1110038F14Rik",30.0850122841145,0.606778247464395,0.746888714186801,0.0228638497959498,0.20371010654179
"1110059E24Rik",25.6320932881224,-0.00266857483160059,0.287983025013786,0.981766511431875,0.997513033832173
"1110059G10Rik",26.9400603332012,-0.0144736136400004,0.28474631135054,0.916805419347849,0.976890100456368
"1500011B03Rik",51.5623090788319,-0.648040704875943,0.67429556990408,0.0187464580339439,0.183432161448843
"1600002K03Rik",35.3952415040328,-0.00193119881778614,0.279604358925159,0.986542904048021,0.997885592962148
"1600012H06Rik",8.96573449113392,-0.0483945689409796,0.3142880148261,0.647487348625067,0.880374850023807
"1600014C10Rik",40.534595050036,-0.121031469285065,0.290982300875167,0.448577956386774,0.781400573645706
"1700010I14Rik",32.5363128743763,-0.346914469757478,0.438761820452371,0.0799337895233295,0.385134712544741
"1700017B05Rik",70.5618737719822,0.666853796168931,0.450956627433267,0.0141676357794163,0.15533541177637
"1700020L24Rik",52.7776320929587,-0.247596262786167,0.351402539270667,0.167452057352146,0.53427758619744
"1700021F05Rik",65.7875348881903,-0.705745148759148,0.459938700913127,0.0115709732786362,0.138786765047542
"1700030K09Rik",18.8946497462139,0.120337245326923,0.321294794790409,0.370747374237648,0.730728634358231
"1700037H04Rik",14.9045686722394,0.592502645423707,1.15725578889368,0.0172920707863184,0.174594792638247
"1700066M21Rik",16.5079270684941,0.0414354898654723,0.299793899954661,0.749053981905649,0.922987562022259
"1700123O20Rik",50.3186378807291,-0.226969213757837,0.327616602923436,0.199178067824781,0.578197839795494
"1810013L24Rik",13.1237943199672,-0.094852636491926,0.321244969631728,0.426131895711037,0.770630941799039
