"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"0610010F05Rik",42.1442977557625,-0.0132172791801757,0.176467875473771,0.840802877010614,0.983014849823213
"0610030E20Rik",96.9521974547206,0.0113724648826055,0.167748419713185,0.887186784026618,0.988345721522096
"1110004F10Rik",209.552200348305,-0.0673500779902163,0.173247586811999,0.441823613958249,0.881317753677703
"1110008P14Rik",13.742113761565,-0.0679852041112759,0.201056611845116,0.163864086844149,NA
"1110012L19Rik",22.4152711771013,-0.091719321121102,0.211846373119731,0.117201091403041,NA
"1110038F14Rik",36.2931760159659,0.119222317139597,0.225670323718558,0.111650734864999,NA
"1110059E24Rik",23.4259314243018,0.0491209961490269,0.189240407400791,0.383479178706433,NA
"1110059G10Rik",31.8666877965366,-0.0413460519726825,0.183837750802122,0.506852489992682,NA
"1500011B03Rik",34.5875153150871,-0.0168190420437219,0.181141783050589,0.761873075477287,NA
"1600002K03Rik",43.0965852425148,-0.0562677629174726,0.186369213960645,0.404783695571462,0.866640080930093
"1600012H06Rik",12.8606497458368,-0.0563910302168761,0.196786219086567,0.204107174594361,NA
"1600014C10Rik",49.6391292723918,-0.131181448713635,0.228994450146274,0.115231173092914,0.598295432115539
"1700010I14Rik",28.4526038179065,-0.0539335303974253,0.188949897309508,0.380063848308751,NA
"1700017B05Rik",90.7666558098265,0.0780093481172479,0.18407996213763,0.35494410222818,0.841398404404729
"1700020L24Rik",60.5707279412458,-0.192147473916067,0.298801744948113,0.0502863758817947,0.42978190230299
"1700021F05Rik",48.3484342064519,-0.0243192657037736,0.17553915775323,0.728740096254156,0.95618454661217
"1700030K09Rik",20.8735206685197,0.0427140918310047,0.18832332326639,0.419742689616934,NA
"1700037H04Rik",28.2667906732091,-0.0285802322572288,0.182225892145979,0.630626272116253,NA
"1700066M21Rik",17.3434196327633,0.0218039588967564,0.18410540369511,0.669694802171978,NA
"1700123O20Rik",56.6690484519141,-0.147718074687658,0.24347331584985,0.0890700220367395,0.530401233009965
"1810013L24Rik",14.5849373166455,-0.046306613120479,0.191147824391255,0.337000069784524,NA
"1810030O07Rik",150.4796973377,-0.0175572417897932,0.169726768885549,0.816905369091826,0.977548897676667
"1810037I17Rik",86.0405404491579,-0.100278149001322,0.196050289943616,0.243850666708595,0.771565168499241
"1810058I24Rik",20.5861741579568,-0.0312638311521677,0.185070701821648,0.557211376100185,NA
"2010315B03Rik",6.67798298929849,-0.0261407937004154,0.189237977428274,0.455071782851252,NA
"2210016F16Rik",52.2457590926444,-0.028541967883184,0.17723439279556,0.679587133786841,0.946569088170595
"2210016L21Rik",55.8894023908203,-0.0523660144616001,0.181175572862161,0.473330727471586,0.889928238547856
"2310009A05Rik",30.1304244937739,-0.0959024572072776,0.210073436106601,0.156646604943365,NA
"2310022A10Rik",22.5161034686554,0.0761468049888278,0.201409787170522,0.20042937170283,NA
"2310022B05Rik",16.4026808751141,0.0282859376629104,0.185965200974866,0.561194107861828,NA
"2310033P09Rik",30.206363095842,-0.0409169328913981,0.185262328771276,0.484331220969664,NA
"2310057M21Rik",16.4053515584565,-0.00510715747747831,0.182749849804199,0.916639867747857,NA
"2310061I04Rik",8.64192250532272,-0.00505982493927496,0.186064378262602,0.89217163102302,NA
"2410002F23Rik",36.2778983928051,0.0738203919156152,0.194537771775364,0.284848463313291,NA
"2410004B18Rik",42.1028155713593,-0.0993845103479446,0.20729292293688,0.184532522571405,0.707996271839346
"2510039O18Rik",106.770312428963,-0.0118637086760443,0.167967126222356,0.880347101855332,0.987153391315185
"2610001J05Rik",12.2764824522592,-0.0216093828480391,0.186008482994146,0.628944455790737,NA
"2610002M06Rik",30.6366086912795,-0.0641190813305396,0.192843993659464,0.302134599139823,NA
"2610008E11Rik",15.5641865946933,0.000939887776745112,0.182830193628211,0.986945101151767,NA
"2610021A01Rik",11.9564326900669,0.00843464010697245,0.184505180132761,0.851501048953088,NA
"2610507B11Rik",371.391432528861,0.157563746224932,0.213836909274438,0.137013559738237,0.633457665776712
"2700049A03Rik",60.7613581533631,0.285443662566056,0.436374560250004,0.0266769292162322,0.310228633815815
"2700097O09Rik",11.257560311585,0.0126825129354051,0.185338164260048,0.766242617543855,NA
"2810004N23Rik",78.0714122635201,0.00733340082131357,0.169215173464753,0.926226062838466,0.992562863411347
"2810006K23Rik",43.4490619839452,-0.140123656679951,0.241224904828981,0.0874758981150781,0.52587470529986
"3110009E18Rik",14.6553646120809,-0.038708867153971,0.189118455658371,0.406774213227142,NA
"3110040N11Rik",66.3816417659922,-0.0272393142744214,0.172748573341271,0.716529017672145,0.952642194856864
"3110082I17Rik",41.853389473495,0.0336915751571767,0.179257402586928,0.618168462762062,0.92822694203265
"3830406C13Rik",14.4889063208266,0.0119875829664055,0.185320337335637,0.775093469151586,NA
"4833420G17Rik",48.4508536421538,0.00429092068938636,0.173765258807078,0.953151683107948,0.994211912993272
"4833439L19Rik",25.9708167264525,0.0579285844466674,0.190746318476538,0.345371517435413,NA
"4921524J17Rik",23.9674642282998,-0.0268441881308116,0.18281099260356,0.634799186401049,NA
"4930402H24Rik",25.3251102202517,-0.0019899832766559,0.179967140539251,0.97030350279935,NA
"4930430F08Rik",10.0942610919267,-0.023252938457986,0.187110921267715,0.572049992384243,NA
"4930438A08Rik",41.2445652433808,-0.0440167509215905,0.184723974216672,0.486366655865255,0.892495276574375
"4930453N24Rik",48.0669506401428,-0.0394744933364013,0.180711036381954,0.561601719553028,0.913621271847059
"4930579G24Rik",20.3147517698468,0.0182376330654704,0.182291477154679,0.739422073661566,NA
"4931406C07Rik",44.2825665353023,-0.0322497332458378,0.178551007300044,0.63231231149548,0.931802744153947
"4931406P16Rik",20.9344629383441,-0.0519932731049762,0.190819987711394,0.344621244922314,NA
"4931414P19Rik",13.9436304318085,-0.00146177626104984,0.183929004363011,0.971844599499404,NA
"4932438A13Rik",249.08790403716,0.0550799902923776,0.164949611542715,0.543391078498143,0.909651386296484
"5031439G07Rik",45.6401832807145,0.0817706066813222,0.195737971480574,0.268008145370482,0.791988771820931
"5430427O19Rik",40.1224068434067,0.0515249584184824,0.186771459066768,0.416633987765288,0.873438448676767
"5730409E04Rik",6.41099448761778,-0.0194268057819899,0.188465804126287,0.557332838216136,NA
"5730455P16Rik",19.4902017299457,0.0118179727443392,0.182194530036875,0.826010672883723,NA
"5730480H06Rik",12.9915135052125,-0.0100023639902912,0.184176738695345,0.826491215005159,NA
"6030458C11Rik",55.2952403476874,0.0564789210698898,0.182442386338071,0.448851589127332,0.882705318818908
"6430548M08Rik",35.9011895167581,0.0111185736972069,0.177533122107663,0.862944096159481,NA
"8030462N17Rik",76.16083890673,-0.0192763883640786,0.170803889522495,0.799439415680319,0.972129143693144
"9130401M01Rik",55.6736612896055,-0.00927419271483343,0.172976539976934,0.895023966786071,0.990625359070986
"9430015G10Rik",6.34278162613415,-0.0325437002800319,0.191157810481514,0.326876041313599,NA
"9430038I01Rik",18.1406623627391,-0.0844227700459772,0.208782773531747,0.122887804700013,NA
"9530068E07Rik",139.181346743586,-0.14156755835067,0.215629907570387,0.147471090113939,0.65536291025576
"9930012K11Rik",11.8994230390565,-0.0696712149872196,0.202971210250976,0.12765385957492,NA
"9930021J03Rik",28.5357387468694,0.0615510322108087,0.191414566755304,0.332774537975914,NA
"9930104L06Rik",9.49715663132884,-0.0278260996644269,0.18841487654524,0.483960414118218,NA
"A430005L14Rik",8.1019526174585,0.0260979698073206,0.188499784247751,0.491086662439538,NA
"A630001G21Rik",27.5277188360061,-0.0329962018533136,0.182639118213218,0.582519157025978,NA
"AB124611",98.0433449791911,-0.368976242326976,0.454683237441125,0.0217452248204715,0.278055262583742
"AI413582",14.4084381571458,-0.069420896524465,0.201798600749189,0.156843897170898,NA
"AI467606",74.1165050115324,-0.564014470123212,0.548895836008869,0.0096672801943937,0.169343782945959
"AI597479",15.8502300696203,-0.0160384569897667,0.183648934199865,0.745725816618255,NA
"AI837181",16.6269302754457,0.022544461228659,0.184348058989672,0.657429424756237,NA
"AU040320",156.713693599133,-0.0600436730742903,0.174037853710448,0.477948965034302,0.890767254361957
"AW209491",32.2054166663401,-0.020743013443225,0.179267215454657,0.739630895225969,NA
"AW549877",19.0195817173135,-0.0402281646382452,0.187756813170045,0.448216026363081,NA
"AW554918",27.8503093412919,-0.021408894431041,0.18084679459295,0.717672349401943,NA
"Aaas",103.174687804345,0.0274461034862719,0.168273500111604,0.737308936138433,0.959303007805313
"Aacs",137.232429368542,0.0118990592298661,0.165450033629195,0.885576137927102,0.9883079268423
"Aagab",107.405850944264,-0.0386432540930496,0.169211489690936,0.637926987335232,0.9330074586988
"Aak1",26.6213126747639,0.00318081981487353,0.179226782388225,0.959456474509882,NA
