"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"0610010F05Rik",67.3000583974891,-0.387354601172273,0.357239702658537,0.0515971896671828,0.246918401023131
"0610030E20Rik",76.5183237971217,1.1519919338902,0.340350196550317,4.77704342247131e-05,0.00168005535204817
"1110004F10Rik",291.86600914464,-0.229313250230733,0.186419611178181,0.121623640504319,0.405660188328364
"1110008P14Rik",25.2012992551575,-0.101900529480244,0.270918737123375,0.435603393040374,0.738307966206401
"1110012L19Rik",35.9137660248322,-0.0627203770517017,0.248832648220468,0.644195961985662,0.870643104303768
"1110038F14Rik",26.6664735662772,0.140657302834929,0.285751092520293,0.305953079042622,0.634047705636843
"1110059E24Rik",27.2454259470189,-0.168789104602257,0.29903691400884,0.234427755559892,0.563952165827918
"1110059G10Rik",39.0889119673386,0.0413760125018635,0.242559224634718,0.763911555307283,0.919392381039068
"1500011B03Rik",63.2620857661524,-0.845652380790113,0.380528665823045,0.00195184052659991,0.0278624436546717
"1600002K03Rik",48.4578405277532,0.177074909926088,0.275186040804065,0.253855888242519,0.582521188012264
"1600012H06Rik",16.6775519604139,0.118073517489429,0.295444286942276,0.302924244940975,0.632129206742369
"1600014C10Rik",60.2763045845619,0.257200746406658,0.287495479808873,0.134210171544597,0.427687656635724
"1700010I14Rik",45.8560569900483,-0.177564724835819,0.278613966264024,0.248163541567355,0.577873239117322
"1700017B05Rik",78.658888222492,0.292070788096501,0.276264384336042,0.099031177440352,0.365921327183123
"1700020L24Rik",82.6473789629338,0.162213618426134,0.234484942046583,0.301400050043134,0.630832408500091
"1700021F05Rik",78.435552630457,-0.494386738691312,0.331664050548427,0.0205000866271158,0.139362241279582
"1700030K09Rik",16.7419356970454,0.0751059763918847,0.277296566431835,0.503666257283544,0.782765613670707
"1700037H04Rik",25.7560934986584,0.748614510674155,0.676290788898565,0.0127643459619315,0.100888867597875
"1700066M21Rik",18.7490215860168,-0.0215229281602728,0.262931940689538,0.849671372117052,0.951930615732119
"1700123O20Rik",79.0906499992639,0.0235072092955053,0.212370227904103,0.873584849166555,0.959650191552146
"1810013L24Rik",19.319641889253,0.0446509406581863,0.263970395416336,0.708384369640773,0.90171168593211
