"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"0610010F05Rik",1987.98315854798,-7.42862324430251e-06,0.00144265353774791,0.294863594854278,0.999804568916862
"0610030E20Rik",1546.96743952278,7.02231560171995e-06,0.00144265399421232,0.241558943495158,0.999804568916862
"1110004F10Rik",3840.94733974267,-7.20522141381988e-07,0.00144263709128431,0.90973762920154,0.999804568916862
"1110008P14Rik",203.486811765638,9.56595955529628e-08,0.00144267733992038,0.897258065396493,0.999804568916862
"1110012L19Rik",294.236351250928,-5.4874777958699e-07,0.001442670017128,0.895573985862231,0.999804568916862
"1110038F14Rik",493.526905812243,-5.25541692800755e-06,0.00144266722505636,0.277904884061881,0.999804568916862
"1110059E24Rik",1006.55478222782,-3.71060500728911e-06,0.00144265662929601,0.49287748331049,0.999804568916862
"1110059G10Rik",450.805335377558,9.80430952456196e-07,0.00144267351210971,0.80629296685552,0.999804568916862
"1500011B03Rik",209.081315658559,-2.23163680799743e-06,0.0014426790393681,0.520687929164349,0.999804568916862
"1600002K03Rik",139.463542430871,3.14019316684926e-07,0.00144268052577097,0.924647854032514,0.999804568916862
"1600012H06Rik",828.925798741835,-1.23628436433393e-06,0.00144265267367612,0.82207955182274,0.999804568916862
"1600014C10Rik",3735.01778600391,9.27394554230782e-07,0.00144262378730236,0.898362134787602,0.999804568916862
"1700010I14Rik",251.723017640799,5.36906063414446e-08,0.00144267308189504,0.990958217585035,0.999804568916862
"1700017B05Rik",972.027927423155,-3.80866472642759e-06,0.0014426524513751,0.503255362014416,0.999804568916862
"1700020L24Rik",488.369210683971,5.18296023648246e-06,0.00144266440194191,0.305662552805541,0.999804568916862
"1700021F05Rik",445.465272623902,1.25755085186579e-06,0.00144266391020384,0.793271383352012,0.999804568916862
"1700030K09Rik",310.733656923323,-1.60640994419693e-06,0.0014426693262905,0.70994126203977,0.999804568916862
"1700037H04Rik",289.295772303599,1.01412971743643e-06,0.00144266919917665,0.80964545146874,0.999804568916862
"1700066M21Rik",489.47796529756,7.10008176075656e-08,0.00144266225186533,0.989918747150489,0.999804568916862
"1700123O20Rik",1881.73162483013,-8.58860060116052e-07,0.00144265900204739,0.864628127083024,0.999804568916862
"1810013L24Rik",575.868551183054,1.33618828607932e-06,0.00144265966635213,0.793889591179185,0.999804568916862
"1810030O07Rik",2135.82483491938,8.48136623359821e-05,0.00144387821859998,0.704823051509387,0.999804568916862
"1810037I17Rik",2307.86543556581,7.3560976288803e-07,0.00144264725014227,0.902071822609718,0.999804568916862
