"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"0610010F05Rik",924.627773897691,-1.15982785676589,0.334409597271925,0.000187417087309541,0.000802480037071092
"0610030E20Rik",1034.71897776537,-0.29896497299324,0.305847980580894,0.308151459332845,0.429344573211034
"1110004F10Rik",2509.13478219592,-0.157814365057788,0.310456664450393,0.583455234126798,0.687898822612866
"1110008P14Rik",539.922792205606,2.55971889442214,0.553772483812889,3.82568234567432e-07,3.03341831081558e-06
"1110012L19Rik",222.920701686892,0.197045176642705,0.416721745854811,0.592624058509355,0.695391257547237
"1110038F14Rik",907.355652991062,2.16710774537137,0.328486958063475,5.94033237513691e-12,1.07492902439718e-10
"1110059E24Rik",782.304062822502,0.36390074195391,0.315475511927371,0.216487123006271,0.326001499803297
"1110059G10Rik",748.026187035296,1.75747622038758,0.37654970106709,5.74058334381513e-07,4.39204981796101e-06
"1500011B03Rik",212.168945295744,0.951728775527312,0.391871071315101,0.00691485771491366,0.018794449669516
"1600002K03Rik",366.301591349656,2.5528151861268,0.468840041312435,5.4755195286229e-09,6.14639399339111e-08
"1600012H06Rik",545.348355043063,-0.11400272431374,0.315385488388946,0.69524632566825,0.778925941230376
"1600014C10Rik",1936.30257198459,-0.985441666190308,0.319980709891514,0.000920151070809679,0.00326737537160895
"1700010I14Rik",186.486533099063,0.140066826646926,0.351638858006344,0.66498296502095,0.756091959446321
"1700017B05Rik",930.189031106927,0.826764012386954,0.317654570532731,0.00516302586037701,0.0146683750990907
"1700020L24Rik",723.095760217714,1.43186637821399,0.407629287869327,0.000112947991651677,0.000515236602084689
"1700021F05Rik",751.626839482279,1.81730401464937,0.338623161071285,1.46506697832289e-08,1.50333108058027e-07
"1700030K09Rik",286.097567690999,0.693732858671103,0.349171525119219,0.0299610199400243,0.065167086263564
"1700037H04Rik",612.30635244965,2.20171625936632,0.40161430910724,5.64715968620922e-09,6.29048873347597e-08
"1700066M21Rik",309.885798964928,-0.253365235266277,0.345771163923361,0.422122299040325,0.542964052405404
"1700123O20Rik",1500.36429051709,0.334928677732705,0.332813572847681,0.277211905133155,0.396042954393347
"1810013L24Rik",383.734436624878,-0.164129077371539,0.317175760445427,0.57598255825034,0.681090004482031
"1810030O07Rik",1400.80274333906,-0.219170481589608,0.293772555603122,0.425019932643015,0.545391180301953
"1810037I17Rik",10037.562810248,3.44598268804076,0.332315884827728,2.29119207770753e-26,4.16328693786773e-24
"1810058I24Rik",1134.48295152875,1.89465788250897,0.338922073010558,3.90278991661512e-09,4.47896495430487e-08
"2010315B03Rik",217.414658162008,-0.600993069653069,0.366541938792484,0.0693985166760214,0.13028279432808
"2210016F16Rik",1997.34497792156,1.17796443551937,0.315257542908388,6.77987479489952e-05,0.000326527156052532
"2210016L21Rik",452.783882508691,1.22939990084411,0.42375942664643,0.00117742463084727,0.00406551766834911
"2310009A05Rik",374.117071127079,2.46505591359135,0.42710840369645,8.87070494845957e-10,1.13280071098777e-08
"2310022A10Rik",316.155570807279,-0.23295829639581,0.335953690271198,0.449860616960531,0.569144807242494
"2310022B05Rik",190.024417252509,0.0147840721738295,0.356288070578467,0.966204004332249,0.976721590704599
"2310033P09Rik",511.787808189053,2.12437726461482,0.376343193622984,2.34850366925209e-09,2.82533089699541e-08
"2310057M21Rik",261.491769549757,0.0355532365436371,0.341661788903117,0.912444752118099,0.940070419263321
"2310061I04Rik",163.879689552803,1.0525113200297,0.387779060805278,0.00268419433702976,0.00832262460276343
"2410002F23Rik",1149.27181112962,0.644771946216449,0.341127648779996,0.0398203620934087,0.082556025238581
"2410004B18Rik",493.174223233407,1.31943806362141,0.345015230968041,3.93870763457352e-05,0.000200545288901052
"2510039O18Rik",1337.27168901162,0.0922832488419711,0.297597199935561,0.744086365759186,0.818917511943422
"2610001J05Rik",2429.4751269683,1.17616389635997,0.324481689895011,0.000102099728624355,0.000470424634475236
"2610002M06Rik",588.173105630216,-0.159880958174895,0.304958744330582,0.573396231563204,0.678606947543265
"2610008E11Rik",271.638064398455,0.0505829562313405,0.333648674162757,0.872089099345123,0.912130103159213
"2610021A01Rik",254.689415501478,-0.901328779537872,0.406639773899457,0.0126982445879914,0.0316440255132745
"2610507B11Rik",2268.16804415741,-0.405588289507441,0.296731241842752,0.144274753571716,0.235668493539702
"2700049A03Rik",387.23986936334,-0.877011512973994,0.342263988646058,0.005286489200458,0.0149700777322819
"2700097O09Rik",156.934348773672,0.181339755894935,0.365910847112063,0.586991169485231,0.690643056825871
"2810004N23Rik",1529.23446422838,1.62066273827828,0.320363939648419,9.35773525937079e-08,8.34541584174152e-07
"2810006K23Rik",372.217514888528,0.217154588108927,0.394646865989667,0.539344557349253,0.650039212021684
"3110009E18Rik",157.571432466518,2.60247537897804,0.42170460000926,7.17860457507421e-11,1.10232023070066e-09
"3110040N11Rik",631.511233204543,2.33649378677348,0.349735780520604,2.99917622862578e-12,5.74919012441188e-11
"3110082I17Rik",498.968448030547,0.928501225218999,0.359877036927722,0.00474835734126838,0.0136368695194412
"3830406C13Rik",928.177078227743,-0.301287758080142,0.315511253598873,0.303064215560828,0.42407638429465
"4833420G17Rik",1204.45342774872,0.815176332605427,0.377348963829383,0.0168454160598608,0.0401674948372163
"4833439L19Rik",1127.38102110014,-1.51234008976499,0.356199278351079,5.08656570519281e-06,3.13312331078331e-05
"4921524J17Rik",1169.77430711598,0.857283582838109,0.332745524397846,0.00533541108236805,0.0150747392253373
"4930402H24Rik",175.133921036659,0.0407316104284998,0.363572412129278,0.904639527884494,0.934516263255389
"4930430F08Rik",75.4426256603018,-0.198253019871899,0.443242450105237,0.601539136743985,0.702641536183345
"4930438A08Rik",567.686653701415,-2.48820875285821,0.468021545517988,1.07336457711712e-08,1.13753169399946e-07
"4930453N24Rik",819.293357907321,0.379082592721646,0.309700342587796,0.19144053049634,0.29526866613423
"4930579G24Rik",867.366517404015,-0.11319885145047,0.297377118830469,0.679391726403423,0.766083340360783
"4931406C07Rik",183.772399587332,1.39768792043665,0.393849261205946,0.000103977760245372,0.000478824722735024
"4931406P16Rik",206.002554303559,0.00424594045758016,0.397908681921892,0.994086290524382,0.996075206479602
"4931414P19Rik",90.0209275030994,0.662548076888787,0.449450610726537,0.0877206100312875,0.157557487786839
"4932438A13Rik",1317.42339102366,-0.528446287141648,0.328214980781078,0.0806074850578657,0.147546376636874
"5031439G07Rik",978.407678733106,0.705163931615434,0.340783388638619,0.0244396135893462,0.0550096283164587
"5430427O19Rik",418.75206529628,0.669188519360656,0.341856619698339,0.0330993306571756,0.0706540288771135
"5730409E04Rik",30.8353649077922,2.67138836252289,0.804629477801339,7.44277030708412e-05,0.000354344119096003
