"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"0610010F05Rik",1103.14529223958,-0.673771142272851,0.338895540322088,0.00462054075428668,0.0779503993402097
"0610030E20Rik",946.589928308429,-0.0498300632719349,0.199368038220192,0.730518196567346,0.94121782920195
"1110004F10Rik",2412.12165717968,-0.142395230255484,0.213106842272777,0.337307668440567,0.808907749281998
"1110008P14Rik",187.64185631694,0.315594233271747,0.36383956720549,0.0805432392309721,0.49665647655965
"1110012L19Rik",224.262478835188,0.118746308112881,0.238831743450296,0.427807061223293,0.850737160964331
"1110038F14Rik",405.563664819913,0.116638571901925,0.246450781473496,0.429176479250331,0.851298316995905
"1110059E24Rik",834.22462801116,0.24067015172616,0.24441340072004,0.145605685498725,0.646279129063104
"1110059G10Rik",414.004565678581,0.573122819990184,0.348706243396247,0.0117096929089848,0.164728937987364
"1500011B03Rik",151.507347183931,-0.00888388087397017,0.244567810449106,0.943168756923166,0.98636905250406
"1600002K03Rik",122.021197648386,0.19656464946193,0.313033892830305,0.181022241365623,0.692793325665187
"1600012H06Rik",587.511648222842,0.0413907182053737,0.207863535007599,0.778783321496551,0.951018545611361
"1600014C10Rik",2391.71666002921,-0.0876065842152376,0.199090898209442,0.549388344391456,0.898777825615664
"1700010I14Rik",180.42353864652,0.0537365474676151,0.232956087252191,0.708303952053122,0.936094420592353
"1700017B05Rik",732.530351085087,0.0892704800234634,0.20926642065549,0.548673398493142,0.898777825615664
"1700020L24Rik",326.572538144472,0.0568339072511295,0.234018216048934,0.690290866563505,0.933301200797775
"1700021F05Rik",323.148895489063,0.0903698521800038,0.235456372475155,0.536363514689231,0.895928869761345
"1700030K09Rik",213.125228813841,-0.0205359990926098,0.222345288835083,0.883912157885034,0.975927433918328
"1700037H04Rik",364.444642690316,1.30905771957133,0.35604354103931,1.34642086799804e-05,0.000551337221158632
"1700066M21Rik",342.17122261354,0.0398743632699817,0.216376728489565,0.785803663721956,0.95342227511102
"1700123O20Rik",1347.63278839529,0.0602397711232427,0.202860245009063,0.68358223720304,0.933301200797775
"1810013L24Rik",376.637268967614,-0.0263098817090789,0.213225871597193,0.85281813051916,0.969441582968643
"1810030O07Rik",1426.3389610994,0.00570048529272434,0.194476107723105,0.970761542763219,0.992612212893411
"1810037I17Rik",1758.62278078594,0.157454147187469,0.241920188970495,0.311273661188782,0.795254124525675
"1810058I24Rik",535.577860871702,0.202562136507422,0.26636874443439,0.209503802241346,0.721123699594455
"2010315B03Rik",214.06308330978,-0.0620272209827913,0.237713385664129,0.658585031860494,0.925014203674464
"2210016F16Rik",1325.99015697115,0.108339273512877,0.229818406613912,0.468503360727468,0.871985298094679
"2210016L21Rik",317.894530862921,0.234250985601826,0.289945712185703,0.158138582884277,0.666092683319269
"2310009A05Rik",130.799192369442,0.0821364128987615,0.247204118783334,0.557744396566715,0.899960460951146
