Gene,Ribo_logFC,Ribo_padj,Input_logFC,Input_padj,TE_logFC,TE_padj,Group
0610030E20Rik,0.038278179,0.90915768,-0.03553394,0.950418847,0.146793014,0.832884355,No change
1110004F10Rik,-0.039997266,0.914348922,0.028129726,0.965377795,-0.094064585,0.900612275,No change
1810030O07Rik,0.003636343,0.990122608,-0.155022156,0.74485581,0.145802204,0.835867969,No change
1810037I17Rik,-0.112868674,0.658014501,3.061853794,1.15E-10,-3.468771302,6.89E-08,Buffered (Special)
2610507B11Rik,0.143451399,0.626163603,0.006049146,0.994065995,0.239954579,0.713947059,No change
4932438A13Rik,0.056980919,0.877453042,0.077138001,0.893955968,0.042170859,0.958121133,No change
9530068E07Rik,-0.074876898,0.818322452,-0.538498364,0.190910544,0.287884011,0.62608294,No change
AU040320,-0.152772881,0.556913801,-3.073562788,5.21E-07,2.412305432,0.001548229,Buffered (Special)
Aaas,-0.017672839,0.959138413,-0.655198024,0.203368497,0.463862551,0.452788611,No change
Aacs,0.01093857,0.974812616,-0.635136738,0.132872223,0.609084893,0.266096724,No change
Aagab,-0.046566832,0.893292863,-0.396234663,0.347500817,0.226649681,0.720539272,No change
Aamp,-0.065223639,0.865231897,0.525921885,0.236219581,-0.620960597,0.262294935,No change
Aars,0.700462724,0.053709496,-0.571157078,0.18129315,1.458523264,0.008341571,No change
Aatf,0.005950277,0.987241338,-0.123919691,0.814182572,0.130905599,0.858263619,No change
Abca13,-0.01877287,0.959774684,-0.055504063,0.922949311,0.039267634,0.959543016,No change
Abca2,0.106388861,0.749475517,-1.734517356,0.001014572,1.983673083,0.002495071,Buffered (Special)
Abca3,-0.060823118,0.853339502,0.208464188,0.670971041,-0.331326644,0.587650843,No change
Abca7,-0.03250627,0.92525908,0.306957985,0.518815314,-0.31505551,0.609802369,No change
Abca9,0.185452003,0.427622791,-1.858645576,0.00185927,2.497627902,0.003006268,Buffered (Special)
Abcb7,-0.018877383,0.956146983,0.72902379,0.087370395,-0.653430532,0.25855718,No change
Abcc1,-0.067362927,0.85407653,0.200602417,0.695376892,-0.290635998,0.642301433,No change
Abcc2,-0.032769688,0.919014271,-0.571477594,0.248227039,0.383820316,0.53885714,No change
