"Gene","Ribo_logFC","Ribo_padj","Input_logFC","Input_padj","TE_logFC","TE_padj","Group"
"1110004F10Rik",-0.15308220137318,0.666080956561053,-0.152050666709597,0.805666848178609,1.22253194812404e-05,0.992565996996839,"No change"
"1600014C10Rik",0.18242241880151,0.5785817763433,-0.0898640508551284,0.898985651868177,0.0373374151160252,0.701366012007215,"No change"
"1810030O07Rik",-0.109839575774985,0.788097937292776,0.00542296305142061,0.992906709339287,-0.018133695750162,0.911030493656232,"No change"
"2610507B11Rik",-0.163041973541332,0.634315611346653,-0.167726415147779,0.778669105176766,0.00359204577580596,0.984531286914088,"No change"
"4932438A13Rik",-1.07111181248696,4.22920333280484e-06,-0.399095051287828,0.386363224780741,-0.0258301080885745,0.799879057765718,"No change"
"9530068E07Rik",-0.0095453571111599,0.990629375096544,-0.0200153802552458,0.976840951232169,-0.000626713355224206,0.994544592942784,"No change"
"Aamp",0.178419069173484,0.587721747184857,0.184461518701306,0.749672881342602,-0.00556245255796379,0.973620895457155,"No change"
"Aars",-0.459558218611722,0.097878838711603,-0.357888217284571,0.395837189421589,-0.0080760990353812,0.973620895457155,"No change"
"Aatf",-0.0703337649264019,0.876403001883395,0.0461368996724353,0.945206223072128,-0.0140859468104313,0.918654261426232,"No change"
"Abca13",-0.701061077504923,3.67649607088652e-05,-0.618898030181363,0.120992593808811,0.00448434949996491,0.979097689533387,"No change"
"Abca2",0.0803225823297219,0.854575352054473,-0.103508786292589,0.876572346638029,0.0141268466490672,0.901794253269926,"No change"
"Abca7",-0.391568530287116,0.127244934029282,-0.424733142416965,0.344047687842385,0.00805071602075709,0.961111839590859,"No change"
"Abcc1",-0.10255935988102,0.798467984300665,-0.331843429275252,0.486935816322296,0.0207929167500945,0.859517016772853,"No change"
"Abcc5",0.0201524242797504,0.976147287030543,-0.112243006340568,0.860158681873869,0.0113007202888959,0.926069066047058,"No change"
"Abcd1",0.410546221418483,0.126180014834506,0.16001107295222,0.787932114020587,0.0161985304236341,0.915828875457655,"No change"
"Abcd2",0.116666639115632,0.776942301493544,0.278712264510214,0.577049350490327,-0.0150987787644402,0.911030493656232,"No change"
"Abce1",-0.0214655251031401,0.971138588855975,-0.386001984386731,0.391031933863148,0.0321156651504395,0.760497408252532,"No change"
"Abcf1",-0.474624420983468,0.0712719930903167,0.0715656025067662,0.918407990825968,-0.055823332576134,0.524772766069884,"No change"
"Abcf2",-0.235695660672262,0.439236251784154,-0.357077148265181,0.386363224780741,0.0119983697710137,0.947943659320592,"No change"
"Abi1",0.126953301106173,0.742765803587891,-0.0188681127208786,0.976920326194151,0.0160986061149765,0.916915343787211,"No change"
"Abr",0.809364826365974,0.00585486588666266,0.0384765317900771,0.953636556775261,0.0484537022761662,0.524772766069884,"No change"
