Name	Description	GMP_Ven_A	GMP_Ven_B	GMP_vehicle_A	GMP_vehicle_B	HSC_Ven_A	HSC_Ven_B	HSC_vehicle_A	HSC_vehicle_B
0610010F05Rik	NA	0.08	0.04	0.06	0.04	0.1	0.06	0.06	0.07
0610030E20Rik	NA	0.03	0.04	0.04	0.04	0.11	0.12	0.11	0.1
1110004F10Rik	NA	0.11	0.11	0.12	0.1	0.06	0.12	0.12	0.1
1110008P14Rik	NA	0.17	0.1	0.23	0.15	0.01	0.02	0.13	0.06
1110012L19Rik	NA	0.26	0.16	0.18	0.15	0.04	0.16	0.14	0.11
1110038F14Rik	NA	0.04	0.08	0.05	0.06	0.04	0.02	0.1	0.05
1110059E24Rik	NA	0.05	0.03	0.04	0.04	0.02	0.04	0.02	0.02
1110059G10Rik	NA	0.12	0.08	0.13	0.1	0.02	0.03	0.07	0.07
1500011B03Rik	NA	0.56	0.59	0.5	0.51	0.06	0.18	0.37	0.18
1600002K03Rik	NA	0.33	0.46	0.34	0.45	0.04	0.13	0.47	0.28
1600012H06Rik	NA	0.03	0.02	0.01	0.03	0.02	0.01	0.02	0.05
1600014C10Rik	NA	0.02	0.02	0.02	0.02	0.03	0.03	0.03	0.03
1700010I14Rik	NA	0.26	0.28	0.37	0.21	0.13	0.13	0.25	0.13
1700017B05Rik	NA	0.08	0.08	0.08	0.09	0.09	0.09	0.11	0.1
1700020L24Rik	NA	0.16	0.24	0.2	0.23	0.04	0.04	0.32	0.19
1700021F05Rik	NA	0.35	0.28	0.26	0.33	0.04	0.04	0.22	0.11
1700030K09Rik	NA	0.1	0.06	0.03	0.08	0.05	0.1	0.08	0.08
1700037H04Rik	NA	0.03	0.04	0.06	0.08	0.03	0.02	0.08	0.05
1700066M21Rik	NA	0.05	0.05	0.05	0.05	0.06	0.09	0.03	0.06
1700123O20Rik	NA	0.06	0.04	0.05	0.06	0.02	0.04	0.05	0.05
1810013L24Rik	NA	0.06	0.02	0.03	0.05	0.03	0.03	0.05	0.05
1810030O07Rik	NA	0.11	0.14	0.13	0.15	0.08	0.16	0.1	0.12
1810037I17Rik	NA	0.05	0.06	0.04	0.06	0	0.01	0.07	0.04
1810058I24Rik	NA	0.1	0.09	0.11	0.08	0.01	0.01	0.07	0.02
2010315B03Rik	NA	0.05	0.04	0.09	0.03	0.04	0.01	0.04	0.06
2210016F16Rik	NA	0.07	0.05	0.06	0.07	0.02	0.02	0.07	0.03
2210016L21Rik	NA	0.3	0.28	0.3	0.31	0.05	0.15	0.25	0.12
2310009A05Rik	NA	0.67	0.51	0.36	0.64	0.03	0.05	0.37	0.21
2310022A10Rik	NA	0.03	0.05	0.06	0.07	0.13	0.07	0.05	0.05
2310022B05Rik	NA	0.05	0.05	0.06	0.04	0.07	0.15	0.12	0.08
2310033P09Rik	NA	0.33	0.23	0.18	0.27	0.02	0.06	0.24	0.1
2310057M21Rik	NA	0.1	0.1	0.11	0.08	0.08	0.05	0.11	0.07
2310061I04Rik	NA	0.09	0.08	0.06	0.07	0.06	0.01	0.09	0.06
2410002F23Rik	NA	0.03	0.02	0.04	0.05	0.04	0.02	0.05	0.04
2410004B18Rik	NA	0.15	0.12	0.13	0.19	0.05	0.05	0.17	0.11
2510039O18Rik	NA	0.06	0.08	0.1	0.07	0.09	0.06	0.08	0.09
2610001J05Rik	NA	0.01	0.01	0.01	0.01	0	0	0.01	0.01
2610002M06Rik	NA	0.06	0.07	0.06	0.08	0.04	0.06	0.07	0.09
2610008E11Rik	NA	0.03	0.04	0.05	0.04	0.06	0.05	0.06	0.09
2610021A01Rik	NA	0.05	0.02	0.04	0.02	0.11	0.06	0.04	0.08
2610507B11Rik	NA	0.13	0.13	0.2	0.14	0.29	0.18	0.14	0.25
2700049A03Rik	NA	0.13	0.14	0.11	0.13	0.32	0.32	0.09	0.13
2700097O09Rik	NA	0.18	0.07	0.05	0.09	0.06	0.09	0.08	0.06
2810004N23Rik	NA	0.13	0.11	0.11	0.12	0.04	0.03	0.11	0.07
2810006K23Rik	NA	0.19	0.19	0.17	0.24	0.06	0.14	0.17	0.14
3110009E18Rik	NA	0.31	0.36	0.5	0.43	0.03	0.07	0.3	0.18
3110040N11Rik	NA	0.18	0.14	0.12	0.11	0.06	0.07	0.43	0.19
3110082I17Rik	NA	0.18	0.24	0.2	0.15	0.05	0.1	0.16	0.09
