"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610009B22Rik",50.6845261906543,-0.734398187857679,1.2183854701958,-0.602763415866787,0.546666087483322,0.731586180881443
"0610010F05Rik",185.066344430384,0.57265475432018,0.531506627582151,1.07741789961343,0.281293611002544,0.48736037448725
"0610010K14Rik",43.3131851878695,-1.74239126726521,2.13933681669331,-0.814453925005768,0.415384957142577,0.619583768730938
"0610012G03Rik",102.083278787537,-0.905996617321762,2.11369502264011,-0.428631665220145,0.66819129770429,0.816951823153016
"0610030E20Rik",207.185207957614,1.60427787018919,0.483740541874881,3.31640152378242,0.000911847168113704,0.00683619531429852
"0610040J01Rik",16.3062408682869,3.08875207009606,1.65370006953258,1.86778251207856,0.0617923920061072,0.174854620130624
"1110002E22Rik",0.0520065273457101,-2.02789325269596,7.05408038384537,-0.287478047080391,0.773746308741724,NA
"1110004F10Rik",634.357081546584,-0.168866702450464,0.444065046914882,-0.38027469989736,0.703741513931507,0.84180546718217
"1110008P14Rik",81.6028556610391,-4.5885802532095,1.08411215223853,-4.23256970575856,2.31036272961019e-05,0.000318131071442709
"1110012L19Rik",66.397874919307,-1.8356690114626,0.792230589899816,-2.31708928545,0.0204988685542539,0.0780930970181688
"1110017D15Rik",0.0706562771487466,-0.622555757127255,7.04941778235789,-0.0883130744052769,0.92962784768579,NA
"1110025L11Rik",0,NA,NA,NA,NA,NA
"1110032A03Rik",18.5048482463443,2.80691001381077,1.68242911493671,1.66836747467744,0.0952428008302817,0.237437578608889
"1110032F04Rik",2.33164317864153,3.1703497243322,3.67707572146991,0.862193211257791,0.388581204834022,NA
"1110038F14Rik",146.589005843579,-0.930004767531325,0.619604330602731,-1.50096557044178,0.13336446689398,0.298084942736089
"1110051M20Rik",15.7498594531587,-1.44674631466375,1.42191972886261,-1.01745990670022,0.308934695953892,0.518047323537941
"1110057P08Rik",0,NA,NA,NA,NA,NA
"1110059E24Rik",137.322268665272,-0.436367278478832,0.617395236998788,-0.70678756868947,0.479698501021255,0.676563661251149
"1110059G10Rik",128.806025051078,-1.73721423006133,0.616075671062999,-2.81980657840923,0.00480526043617388,0.0260278614252157
"1110065P20Rik",5.36957022359011,0.377369935952113,2.68410372637809,0.140594393667987,0.888190377449,NA
"1190005I06Rik",0,NA,NA,NA,NA,NA
"1190007I07Rik",48.6640529713248,-2.28471195413959,1.72788458773704,-1.32225958281844,0.186081726446578,0.372796054229435
"1300017J02Rik",0.291330784901144,-4.56203477060277,6.94243447507029,-0.657123201808337,0.511101701325922,NA
"1500009C09Rik",0.417084549420949,-1.7686870460132,5.60777683111286,-0.315398971692354,0.752458747494043,NA
"1500009L16Rik",0.0967161709283649,0.534105947639879,6.97425312068473,0.0765825298275726,0.938955657310506,NA
"1500011B03Rik",109.942896294423,-1.92382017810444,0.677404456794989,-2.83998748282028,0.0045115304068125,0.0248423992315168
"1520401A03Rik",0.093011098940074,0.419318114927963,6.97995146086093,0.0600746462606837,0.952096182836006,NA
"1600002K03Rik",93.8927955093388,-2.76994902207703,0.767211839476046,-3.61040964118687,0.000305713792795271,0.00279766198638093
"1600012H06Rik",76.36100994614,-0.724159654029189,0.858556502623598,-0.843461847666733,0.398970194710401,0.60492444321804
"1600014C10Rik",296.730796512428,0.891353748149923,0.510591211208467,1.74572873285513,0.0808580998386269,0.2123569717055
"1600014C23Rik",0,NA,NA,NA,NA,NA
"1700001C02Rik",0,NA,NA,NA,NA,NA
"1700001C19Rik",0.50440942867118,2.16557652335168,5.22103698364028,0.414779004656997,0.678303690604125,NA
"1700001F09Rik",0,NA,NA,NA,NA,NA
"1700001J03Rik",0.137720742522729,1.4806320228042,6.94104495021915,0.213315434984677,0.831080935229528,NA
"1700001K19Rik",0.0223548217913274,1.06954657310165,7.05637886491825,0.15157159126178,0.87952484136816,NA
"1700001L19Rik",0,NA,NA,NA,NA,NA
"1700001O22Rik",0.122662804494457,-1.65253127855045,6.98160720638969,-0.236697830413322,0.812891218220089,NA
"1700001P01Rik",0,NA,NA,NA,NA,NA
"1700003E16Rik",0.255404299293175,0.777024971209188,6.84712396074315,0.113481948868479,0.909648473344429,NA
"1700003F12Rik",0.281226542997684,-0.046453354301803,6.46642052795063,-0.00718378183123287,0.994268220688449,NA
"1700003H04Rik",0,NA,NA,NA,NA,NA
"1700006A11Rik",0,NA,NA,NA,NA,NA
"1700007K13Rik",0.0372994996060731,1.85641998733841,6.99979843374015,0.265210492117912,0.790847312686452,NA
"1700008O03Rik",1.00035977426395,1.6055884006856,4.32633782047356,0.371119516623843,0.710548515236741,NA
"1700008P02Rik",0,NA,NA,NA,NA,NA
"1700009N14Rik",0,NA,NA,NA,NA,NA
"1700010B08Rik",0.0186497498030366,0.937329259395242,7.06253188496848,0.132718587988283,0.894415941823927,NA
"1700010I14Rik",68.1220497308585,-1.0124128082313,0.5998648889641,-1.68773473303234,0.0914621612397725,0.23132033206597
"1700011L22Rik",0,NA,NA,NA,NA,NA
"1700011M02Rik",0,NA,NA,NA,NA,NA
"1700012A03Rik",0,NA,NA,NA,NA,NA
"1700012B07Rik",0.0186497498030366,0.937329259395242,7.06253188496848,0.132718587988283,0.894415941823927,NA
"1700012B09Rik",11.8415574557555,-1.00425358492197,1.67458199973552,-0.59970403663755,0.548703497559297,0.732887180352543
"1700012P22Rik",0,NA,NA,NA,NA,NA
"1700013F07Rik",0,NA,NA,NA,NA,NA
"1700013G24Rik",0,NA,NA,NA,NA,NA
"1700013H16Rik",0,NA,NA,NA,NA,NA
"1700014D04Rik",0.0186497498030366,0.937329259395242,7.06253188496848,0.132718587988283,0.894415941823927,NA
"1700015F17Rik",0,NA,NA,NA,NA,NA
"1700015G11Rik",0,NA,NA,NA,NA,NA
"1700016C15Rik",0,NA,NA,NA,NA,NA
"1700016D06Rik",0,NA,NA,NA,NA,NA
"1700016H13Rik",0.396308861844141,-1.68196172642707,6.58272555563613,-0.255511446164876,0.798328104184297,NA
"1700016K19Rik",0.10401305469142,-3.05789129442852,6.98631481143481,-0.437697323547964,0.661605709932058,NA
"1700017B05Rik",194.093026044141,-0.131223309522806,0.508369127407162,-0.258126039620236,0.796309635661201,0.897528042122629
"1700017D01Rik",0.0223548217913274,1.06954657310165,7.05637886491825,0.15157159126178,0.87952484136816,NA
"1700017N19Rik",0,NA,NA,NA,NA,NA
"1700018B08Rik",0,NA,NA,NA,NA,NA
"1700018F24Rik",0,NA,NA,NA,NA,NA
"1700018G05Rik",0,NA,NA,NA,NA,NA
"1700019A02Rik",0.0186497498030366,0.937329259395242,7.06253188496848,0.132718587988283,0.894415941823927,NA
"1700019D03Rik",11.8099554655522,0.368017212321543,2.32791122631107,0.158089023396619,0.874386649906256,0.939216904859623
"1700019N19Rik",0,NA,NA,NA,NA,NA
"1700020A23Rik",0,NA,NA,NA,NA,NA
"1700020D05Rik",0.418663683635469,-1.2464783413681,6.45439015904143,-0.193121009212932,0.846864199392381,NA
"1700020L24Rik",145.625542342803,-2.66241596660801,0.761646374551756,-3.49560643307059,0.000472985776350425,0.00399108424572639
"1700020N01Rik",0,NA,NA,NA,NA,NA
