,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
0610009B22Rik,60.80093919,0.917434032,1.11166247,0.825281105,0.409212016,NA
0610010F05Rik,245.8887607,0.093926037,0.498253771,0.188510439,0.850476533,NA
0610010K14Rik,16.00167181,-0.220506723,2.238237281,-0.098518028,0.921520957,NA
0610012G03Rik,68.94432857,-0.277166481,2.08912227,-0.132671258,0.894453374,NA
0610030E20Rik,224.4983399,1.310249875,0.377646566,3.469513537,0.000521402,NA
0610040J01Rik,18.97723838,0.730925925,1.388274893,0.52649942,0.598541255,NA
1110002E22Rik,0,NA,NA,NA,NA,NA
1110004F10Rik,740.5962019,-0.016153954,0.31580147,-0.051152245,0.959204205,0.996288112
1110008P14Rik,59.90009444,-1.148771579,0.656311703,-1.750344498,0.080058887,NA
1110012L19Rik,81.29553254,-0.549112686,0.505337984,-1.086624604,0.277202747,NA
1110017D15Rik,0.054787878,1.589517048,6.991133444,0.227361852,0.820142381,NA
1110025L11Rik,0,NA,NA,NA,NA,NA
1110032A03Rik,21.59645905,2.041673915,1.327230652,1.538296234,0.1239762,NA
1110032F04Rik,3.044831224,4.432997872,2.918785149,1.518781838,0.128817419,NA
1110038F14Rik,88.57327756,0.027853563,0.648802886,0.042930702,0.965756775,NA
1110051M20Rik,14.70429325,-0.878122514,1.302135494,-0.674371076,0.500075427,NA
1110057P08Rik,0,NA,NA,NA,NA,NA
1110059E24Rik,158.3193063,-0.854126691,0.482273258,-1.771043028,0.076553547,NA
1110059G10Rik,116.9514823,-0.765471265,0.485284824,-1.577364934,0.114711579,NA
1110065P20Rik,5.787409992,1.931062922,2.228520426,0.866522424,0.386203735,NA
1190005I06Rik,0,NA,NA,NA,NA,NA
1190007I07Rik,23.75525907,1.148536963,1.89634968,0.605656739,0.544742717,NA
1300017J02Rik,0.972579078,5.023662483,4.422894416,1.135831429,0.256027121,NA
1500009C09Rik,0.952901677,-1.10549214,4.002130499,-0.27622591,0.782374558,NA
1500009L16Rik,0.226484072,-4.532264623,6.956841534,-0.651483091,0.514734689,NA
1500011B03Rik,116.1227028,-0.922480031,0.566918439,-1.627182973,0.103698243,NA
1520401A03Rik,0.025729465,0.535266972,7.06555854,0.075757206,0.939612263,NA
1600002K03Rik,78.80266507,-0.348327671,0.656807164,-0.530334763,0.595879849,NA
1600012H06Rik,103.9010683,0.090261417,0.628132473,0.14369806,0.885738904,NA
1600014C10Rik,422.8851496,0.686580159,0.366382408,1.873944121,0.060938127,0.6366224
1600014C23Rik,0,NA,NA,NA,NA,NA
1700001C02Rik,0,NA,NA,NA,NA,NA
1700001C19Rik,1.12217163,0.215211014,3.837850715,0.056075921,0.955281326,NA
1700001F09Rik,0,NA,NA,NA,NA,NA
1700001J03Rik,0.054787878,1.589517048,6.991133444,0.227361852,0.820142381,NA
1700001K19Rik,0,NA,NA,NA,NA,NA
1700001L19Rik,0,NA,NA,NA,NA,NA
1700001O22Rik,0.834371246,1.143547528,4.257646922,0.268586745,0.788247714,NA
1700001P01Rik,0.133640746,2.879425451,6.9482524,0.414410025,0.678573848,NA
1700003E16Rik,0.644595314,-0.505689543,4.493153305,-0.112546693,0.91038995,NA
1700003F12Rik,0.054787878,1.589517048,6.991133444,0.227361852,0.820142381,NA
1700003H04Rik,0,NA,NA,NA,NA,NA
1700006A11Rik,0,NA,NA,NA,NA,NA
1700007K13Rik,0,NA,NA,NA,NA,NA
1700008O03Rik,4.029849523,0.593347285,2.068771996,0.286811348,0.774256773,NA
1700008P02Rik,0,NA,NA,NA,NA,NA
1700009N14Rik,0,NA,NA,NA,NA,NA
1700010B08Rik,0,NA,NA,NA,NA,NA
1700010I14Rik,83.49370533,-0.558494955,0.558181126,-1.000562235,0.317038495,NA
1700011L22Rik,0,NA,NA,NA,NA,NA
1700011M02Rik,0,NA,NA,NA,NA,NA
1700012A03Rik,0,NA,NA,NA,NA,NA
1700012B07Rik,0.027393939,0.580962775,7.063299519,0.082250905,0.934447194,NA
1700012B09Rik,7.380829748,-0.738110488,1.792910205,-0.411682909,0.680571854,NA
1700012P22Rik,0,NA,NA,NA,NA,NA
1700013F07Rik,0,NA,NA,NA,NA,NA
1700013G24Rik,0.025729465,0.535266972,7.06555854,0.075757206,0.939612263,NA
1700013H16Rik,0,NA,NA,NA,NA,NA
1700014D04Rik,0.109575756,2.591327109,6.954828239,0.372593976,0.709450657,NA
1700015F17Rik,0,NA,NA,NA,NA,NA
1700015G11Rik,0,NA,NA,NA,NA,NA
1700016C15Rik,0.054407118,-0.670179936,7.034394423,-0.095271873,0.924098883,NA
1700016D06Rik,0,NA,NA,NA,NA,NA
1700016H13Rik,0,NA,NA,NA,NA,NA
1700016K19Rik,0,NA,NA,NA,NA,NA
1700017B05Rik,196.967848,0.455051606,0.386125169,1.178508015,0.238594139,NA
1700017D01Rik,0,NA,NA,NA,NA,NA
1700017N19Rik,0,NA,NA,NA,NA,NA
1700018B08Rik,0,NA,NA,NA,NA,NA
1700018F24Rik,0,NA,NA,NA,NA,NA
1700018G05Rik,0,NA,NA,NA,NA,NA
1700019A02Rik,0,NA,NA,NA,NA,NA
1700019D03Rik,10.150752,-0.525113913,2.279741861,-0.230339198,0.817828203,NA
1700019N19Rik,0,NA,NA,NA,NA,NA
1700020A23Rik,0,NA,NA,NA,NA,NA
1700020D05Rik,0.792293234,-0.372163274,4.538226994,-0.082006315,0.934641692,NA
1700020L24Rik,135.1915547,0.064433805,0.515410924,0.125014433,0.900512124,NA
1700020N01Rik,0,NA,NA,NA,NA,NA
1700020N15Rik,0,NA,NA,NA,NA,NA
1700021F05Rik,151.7590535,-1.102199823,0.473544036,-2.327555074,0.019935741,NA
1700021F07Rik,0,NA,NA,NA,NA,NA
1700022I11Rik,0,NA,NA,NA,NA,NA
1700023F06Rik,0,NA,NA,NA,NA,NA
1700024B05Rik,0,NA,NA,NA,NA,NA
1700024G13Rik,0,NA,NA,NA,NA,NA
1700024P04Rik,0,NA,NA,NA,NA,NA
1700025B11Rik,0,NA,NA,NA,NA,NA
1700025C18Rik,0,NA,NA,NA,NA,NA
1700025F22Rik,0,NA,NA,NA,NA,NA
1700025G04Rik,18.48656962,-1.155931226,1.261877213,-0.91604097,0.359645407,NA
1700028J19Rik,5.335688159,0.040345408,1.80365563,0.022368687,0.982153858,NA
1700028K03Rik,0,NA,NA,NA,NA,NA
1700028P14Rik,0,NA,NA,NA,NA,NA
1700029F12Rik,0,NA,NA,NA,NA,NA
1700029H14Rik,0,NA,NA,NA,NA,NA
1700029I15Rik,0.078472109,0.256149417,6.966186332,0.036770394,0.97066808,NA
1700029J07Rik,0.927401692,-1.272386552,3.786402318,-0.336041035,0.736839923,NA
1700029P11Rik,1.627764495,-0.47513745,3.167083067,-0.150023678,0.880745934,NA
1700030J22Rik,0.40377254,-1.047118985,6.026132805,-0.173763012,0.862051714,NA
1700030K09Rik,50.50106026,0.147518645,0.663915457,0.222194924,0.824162145,NA
1700031F05Rik,0,NA,NA,NA,NA,NA
1700031L13Rik,0,NA,NA,NA,NA,NA
1700034E13Rik,0,NA,NA,NA,NA,NA
1700034I23Rik,0.107530522,0.896737308,6.938578838,0.129239334,0.897168273,NA
1700034J05Rik,0.536846701,-4.244481862,5.540034198,-0.766147231,0.443588702,NA
1700037C18Rik,18.67678204,0.556964698,1.029970964,0.540757669,0.588674623,NA
1700037H04Rik,88.51309942,-0.251993042,0.571242521,-0.441131452,0.659117835,NA
1700040F15Rik,0,NA,NA,NA,NA,NA
1700042G07Rik,0,NA,NA,NA,NA,NA
1700047I17Rik2,0,NA,NA,NA,NA,NA
1700049E17Rik1,0,NA,NA,NA,NA,NA
1700049E17Rik2,0,NA,NA,NA,NA,NA
1700056E22Rik,2.117166722,0.179899349,2.71688012,0.066215417,0.947206323,NA
1700057G04Rik,0,NA,NA,NA,NA,NA
1700061G19Rik,0.39841959,-1.965433523,5.39089975,-0.364583579,0.715422275,NA
1700064H15Rik,0,NA,NA,NA,NA,NA
1700066B19Rik,2.352951776,-0.640207717,2.987630798,-0.214286088,0.830323966,NA
1700066M21Rik,76.83943104,-0.062136828,0.588022172,-0.105670893,0.915843475,NA
1700067K01Rik,0.222632929,-0.885485649,6.880061695,-0.128703155,0.897592539,NA
1700067P10Rik,0,NA,NA,NA,NA,NA
1700069L16Rik,0,NA,NA,NA,NA,NA
1700074P13Rik,0,NA,NA,NA,NA,NA
1700080O16Rik,0,NA,NA,NA,NA,NA
1700084M14Rik,0,NA,NA,NA,NA,NA
1700086D15Rik,0,NA,NA,NA,NA,NA
1700088E04Rik,0.102917859,2.505209314,6.957061271,0.360095911,0.718775411,NA
1700092M07Rik,0.027393939,0.580962775,7.063299519,0.082250905,0.934447194,NA
1700093K21Rik,0,NA,NA,NA,NA,NA
1700094D03Rik,0.027393939,0.580962775,7.063299519,0.082250905,0.934447194,NA
1700102P08Rik,0.526544719,0.345592854,4.853173243,0.071209668,0.943230887,NA
