"Gene","Ribo_logFC","Ribo_padj","Input_logFC","Input_padj","TE_logFC","TE_padj","Group"
"0610010F05Rik",-4.60727101186376e-07,0.999991806526935,-7.42862324430251e-06,0.999804568916862,1.29052986217712e-06,0.999856529260043,"No change"
"0610030E20Rik",9.7870691668107e-08,0.999991806526935,7.02231560171995e-06,0.999804568916862,-1.65302246443934e-06,0.999856529260043,"No change"
"1110004F10Rik",-2.59240009387263e-07,0.999991806526935,-7.20522141381988e-07,0.999804568916862,1.31119408497309e-07,0.999856529260043,"No change"
"1110008P14Rik",-1.65265785626449e-06,0.999991806526935,9.56595955529628e-08,0.999804568916862,-1.6592082967589e-06,0.999856529260043,"No change"
"1110012L19Rik",1.46054211988065e-06,0.999991806526935,-5.4874777958699e-07,0.999804568916862,1.97449036724374e-06,0.999856529260043,"No change"
"1110038F14Rik",-3.01319598889266e-07,0.999991806526935,-5.25541692800755e-06,0.999804568916862,1.36887221681477e-07,0.999856529260043,"No change"
"1110059E24Rik",-4.04774916942863e-07,0.999991806526935,-3.71060500728911e-06,0.999804568916862,4.16570371987307e-07,0.999856529260043,"No change"
"1110059G10Rik",-9.17969461340813e-07,0.999991806526935,9.80430952456196e-07,0.999804568916862,-1.24878710844164e-06,0.999856529260043,"No change"
"1500011B03Rik",-2.68002180992868e-07,0.999991806526935,-2.23163680799743e-06,0.999804568916862,9.97056788189845e-07,0.999856529260043,"No change"
"1600002K03Rik",1.27629607144151e-07,0.999991806526935,3.14019316684926e-07,0.999804568916862,-1.27486887439864e-07,0.999856529260043,"No change"
"1600012H06Rik",7.18561858551234e-08,0.999991806526935,-1.23628436433393e-06,0.999804568916862,5.52244948560821e-07,0.999856529260043,"No change"
"1600014C10Rik",1.15730910296746e-06,0.999991806526935,9.27394554230782e-07,0.999804568916862,2.1165997172354e-06,0.999856529260043,"No change"
"1700010I14Rik",-3.37531054545444e-07,0.999991806526935,5.36906063414446e-08,0.999804568916862,-3.52189354883228e-07,0.999856529260043,"No change"
"1700017B05Rik",-1.4575936326098e-06,0.999991806526935,-3.80866472642759e-06,0.999804568916862,-4.26122848161128e-07,0.999856529260043,"No change"
"1700020L24Rik",6.35674298350946e-07,0.999991806526935,5.18296023648246e-06,0.999804568916862,-1.196573969882e-06,0.999856529260043,"No change"
"1700021F05Rik",1.34872093216995e-06,0.999991806526935,1.25755085186579e-06,0.999804568916862,7.04353021251711e-07,0.999856529260043,"No change"
"1700030K09Rik",6.45042469938715e-07,0.999991806526935,-1.60640994419693e-06,0.999804568916862,1.44832587356729e-06,0.999856529260043,"No change"
"1700037H04Rik",-1.45185965406944e-06,0.999991806526935,1.01412971743643e-06,0.999804568916862,-2.70542401331901e-06,0.999856529260043,"No change"
"1700066M21Rik",-2.35936570573845e-07,0.999991806526935,7.10008176075656e-08,0.999804568916862,-3.61100581067976e-07,0.999856529260043,"No change"
"1700123O20Rik",-1.08314450844618e-06,0.999991806526935,-8.58860060116052e-07,0.999804568916862,-7.28796172388981e-07,0.999856529260043,"No change"
"1810013L24Rik",4.0712404329673e-07,0.999991806526935,1.33618828607932e-06,0.999804568916862,9.01894829160779e-07,0.999856529260043,"No change"
"1810030O07Rik",-1.53033997765405e-06,0.999991806526935,8.48136623359821e-05,0.999804568916862,-2.34097705296828e-06,0.999856529260043,"No change"
"1810037I17Rik",1.11915633081829e-06,0.999991806526935,7.3560976288803e-07,0.999804568916862,8.45870419499806e-07,0.999856529260043,"No change"
"1810058I24Rik",-3.04047124031237e-07,0.999991806526935,-5.15152057075123e-07,0.999804568916862,-1.13025194513461e-07,0.999856529260043,"No change"
"2010315B03Rik",-1.18116016513709e-07,0.999991806526935,2.8182290817105e-06,0.999804568916862,-6.9101084515094e-07,0.999856529260043,"No change"
"2210016F16Rik",-1.69298777457909e-06,0.999991806526935,-3.27333302337e-06,0.999804568916862,-9.14682944695174e-07,0.999856529260043,"No change"
