gene	RIBO_GMP_Ven_A	RIBO_GMP_Ven_B	RIBO_GMP_vehicle_A	RIBO_GMP_vehicle_B	RIBO_HSC_Ven_A	RIBO_HSC_Ven_B	RIBO_HSC_vehicle_A	RIBO_HSC_vehicle_B
0610009B22Rik	5	1	1	2	1	2	5	2
0610010F05Rik	106	30	74	55	42	10	50	24
0610010K14Rik	0	0	0	0	0	0	0	0
0610012G03Rik	0	0	0	1	0	0	1	0
0610030E20Rik	48	19	30	33	67	29	78	66
0610040J01Rik	0	1	2	0	13	1	7	2
1110002E22Rik	0	0	0	0	0	0	0	0
1110004F10Rik	334	171	270	241	158	77	210	206
1110008P14Rik	32	7	21	24	4	2	18	15
1110012L19Rik	63	23	33	31	12	5	27	25
1110017D15Rik	0	0	0	0	0	0	0	0
1110025L11Rik	0	0	0	0	0	0	0	0
1110032A03Rik	1	0	1	1	8	0	5	4
1110032F04Rik	0	0	0	0	0	0	0	0
1110038F14Rik	14	14	10	22	42	8	19	20
1110051M20Rik	11	4	4	4	2	0	0	3
1110057P08Rik	0	0	0	0	0	0	0	0
1110059E24Rik	45	14	29	22	17	14	19	18
1110059G10Rik	37	15	35	32	26	9	31	37
1110065P20Rik	0	0	0	0	0	0	1	1
1190005I06Rik	0	0	0	0	0	0	0	0
1190007I07Rik	1	1	1	0	1	0	1	1
1300017J02Rik	0	0	0	0	0	0	0	2
1500009C09Rik	0	0	0	0	0	0	0	0
1500009L16Rik	0	0	0	0	0	0	0	0
1500011B03Rik	82	56	67	83	22	21	35	40
1520401A03Rik	0	0	0	0	0	0	0	0
1600002K03Rik	35	29	32	34	26	13	30	49
1600012H06Rik	16	4	7	14	7	0	6	17
1600014C10Rik	71	20	33	41	34	13	58	47
1600014C23Rik	0	0	0	0	0	0	0	0
1700001C02Rik	0	0	0	0	0	0	0	0
1700001C19Rik	0	0	0	1	0	0	0	0
1700001F09Rik	0	0	0	0	0	0	0	0
1700001J03Rik	0	0	0	0	0	0	0	0
1700001K19Rik	0	0	0	0	0	0	0	0
1700001L19Rik	0	0	0	0	0	0	0	0
1700001O22Rik	0	0	0	0	0	0	0	1
1700001P01Rik	0	0	0	0	0	0	0	0
1700003E16Rik	0	0	0	0	0	0	0	0
1700003F12Rik	0	0	0	0	0	0	0	0
1700003H04Rik	0	0	0	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0	0	0
1700007K13Rik	0	0	0	0	0	0	0	0
1700008O03Rik	0	0	0	3	1	0	1	3
1700008P02Rik	0	0	0	0	0	0	0	0
1700009N14Rik	0	0	0	0	0	0	0	0
1700010B08Rik	0	0	0	0	0	0	0	0
1700010I14Rik	53	28	48	30	22	7	36	22
1700011L22Rik	0	0	0	0	0	0	0	0
1700011M02Rik	0	0	0	0	0	0	0	0
1700012A03Rik	0	0	0	0	0	0	0	0
1700012B07Rik	0	0	0	0	0	0	0	0
1700012B09Rik	2	0	0	2	3	2	2	4
1700012P22Rik	0	0	0	0	0	0	0	0
1700013F07Rik	0	0	0	0	0	0	0	0
1700013G24Rik	0	0	0	0	0	0	0	0
1700013H16Rik	0	0	0	0	0	0	0	0
1700014D04Rik	0	0	0	0	0	0	0	0
1700015F17Rik	0	0	0	0	0	0	0	0
1700015G11Rik	0	0	0	0	0	0	0	0
1700016C15Rik	0	0	0	0	0	0	0	0
1700016D06Rik	0	0	0	0	0	0	0	0
1700016H13Rik	0	0	0	0	0	0	0	0
1700016K19Rik	0	0	0	0	0	0	0	0
1700017B05Rik	71	19	39	47	59	27	70	60
1700017D01Rik	0	0	0	0	0	0	0	0
1700017N19Rik	0	0	0	0	0	0	0	0
